Chemical,Medium,Group,Phylum,Genus,Species,Notes,Life stage,Duration (d),Toxicity measure,Test endpoint,Conc,Reference,Timeframe
nickel,marine,Diatom,Bacillariophyta,Ceratoneis,closterium,,5-6 d old; 1-3 x 10^3 cells/mL,3,EC10,Growth rate,2870,nickel-marine2026,chronic
nickel,marine,Diatom,Bacillariophyta,Skeletonema,costatum,,Not stated,4,EC10,Growth,132,nickel-marine2026,chronic
nickel,marine,Green alga,Chlorophyta,Dunaliella,tertiolecta,,Not stated,4,EC10,Growth,17900,nickel-marine2026,chronic
nickel,marine,Brown-golden alga,Haptophyta,Isochrysis,lutea,,5-6 d old; 1-3 x 10^3 cells/mL,3,NOEC,Growth rate,250,nickel-marine2026,chronic
nickel,marine,Dinoflagellate,Dinophyta,Symbiodinium,sp.,,6-7 d old; 1-3 x 10^3 cells/mL,3,NOEC,Growth rate,310,nickel-marine2026,chronic
nickel,marine,Red macroalga,Rhodophyta,Champia,parvula,,Adult,10,EC10,Reproduction,144,nickel-marine2026,chronic
nickel,marine,Brown macroalga,Phaeophyceae,Macrocystis,pyrifera,,Zoospore,10,EC10,Reproduction,96.7,nickel-marine2026,chronic
nickel,marine,Crustacean,Arthropoda,Acartia,sinjiensis,,Egg,3.33,EC10,Development,5.5,nickel-marine2026,chronic
nickel,marine,Crustacean,Arthropoda,Amphibalanus,amphitrite,,Nauplius,4,EC10,Metamorphosis,67,nickel-marine2026,chronic
nickel,marine,Crustacean,Arthropoda,Mysidopsis,intii,,Neonate,28,NOEC,Survival,10,nickel-marine2026,chronic
nickel,marine,Crustacean,Arthropoda,Mysidopsis,bahia,,Larva,36,NOEC,Reproduction,61,nickel-marine2026,chronic
nickel,marine,Crustacean,Arthropoda,Tigriopus,japonicus,,Nauplius (24 h old),25,EC10,Intrinsic rate increase,29.1,nickel-marine2026,chronic
nickel,marine,Echinoderm,Echinodermata,Dendraster,excentricus,,Embryo,2,EC10,Abnormalities,191,nickel-marine2026,chronic
nickel,marine,Echinoderm,Echinodermata,Diadema,antillarum,,Larva,1.67,EC10,Abnormalities,2.9,nickel-marine2026,chronic
nickel,marine,Echinoderm,Echinodermata,Diadema,savignyi,,Gamete,2,NOEC,Fertilisation and development,23,nickel-marine2026,chronic
nickel,marine,Echinoderm,Echinodermata,Paracentrotus,lividus,,Embryo,3,NOEC,Larval survival,50,nickel-marine2026,chronic
nickel,marine,Echinoderm,Echinodermata,Strongylocentrotus,purpuratus,,Embryo,2,EC10,Abnormalities,335,nickel-marine2026,chronic
nickel,marine,Gastropod,Mollusca,Haliotis,rufescens,,Embryo,14,NOEC,Shell growth,21.5,nickel-marine2026,chronic
nickel,marine,Gastropod,Mollusca,Monodonta,labio,,Juvenile,30,EC10,Growth rate,33.6,nickel-marine2026,chronic
nickel,marine,Gastropod,Mollusca,Nassarius,dorsatus,,Larva,4,EC10,Growth rate,64,nickel-marine2026,chronic
nickel,marine,Cnidarian (coral),Cnidaria,Acropora,digitifera,,Gamete,0.208,EC5,Fertilisation,1680,nickel-marine2026,chronic
nickel,marine,Cnidarian (coral),Cnidaria,Platygyra,daedalea,,Gamete,0.208,NOEC,Fertilisation,920,nickel-marine2026,chronic
nickel,marine,Cnidarian (sea anemone),Cnidaria,Exaiptasia,pulchella,,Adult,28,EC10,Reproduction,65,nickel-marine2026,chronic
nickel,marine,Bivalve,Mollusca,Crassostrea,gigas,,Embryo,4,EC10,Reproduction,431,nickel-marine2026,chronic
nickel,marine,Bivalve,Mollusca,Mytilus,galloprovincialis,,Embryo,2,EC10,Survival,270,nickel-marine2026,chronic
nickel,marine,Bivalve,Mollusca,Mytilus,trossolus,,Embryo,2,EC20,Survival,88,nickel-marine2026,chronic
nickel,marine,Annelid,Annelida,Neanthes,arenaceodentata,,Adult,90,EC10,Reproduction,22.5,nickel-marine2026,chronic
nickel,marine,Fish,Chordata,Atherinops,affinis,,Embryo,40,EC10,Larval survival,3600,nickel-marine2026,chronic
nickel,marine,Fish,Chordata,Cyprinodon,variegatus,,Juvenile,28,EC10,Growth,20300,nickel-marine2026,chronic
nickel,marine,Fish,Chordata,Oryzias,melastigma,,Juvenile,21,LC10,Mortality,1660,nickel-marine2026,chronic
paraquat,freshwater,Cyanobacterium,Cyanobacteria,Oscillatoria,cf. chalybea,,Not stated,4,Chronic IC50,Growth,2.6,paraquat-fresh2024,chronic
paraquat,freshwater,Green alga,Chlorophyta,Raphidocelis,subcapitata,,Not stated,4,Chronic NOEC,Growth,114,paraquat-fresh2024,chronic
paraquat,freshwater,Macrophyte,Tracheophyta,Lemna,minor,,Not stated,4,Chronic NOEC (from EC50/10),Growth,5.1,paraquat-fresh2024,chronic
paraquat,freshwater,Macrophyte,Tracheophyta,Lemna,gibba,,Not stated,28,Chronic NOEC (from LOEC/2.5),Growth,1,paraquat-fresh2024,chronic
paraquat,freshwater,Macrophyte,Tracheophyta,Lemna,paucicostata,,Not stated,7,Chronic NOEC (from EC50/5),Growth,31.8,paraquat-fresh2024,chronic
paraquat,freshwater,Crustacean,Arthropoda,Mesocyclops,sp.,,Nauplii,2,Chronic NOEC (from EC50/10),Mortality,15.2,paraquat-fresh2024,chronic
paraquat,freshwater,Crustacean,Arthropoda,Mesocyclops,aspericornis,,Nauplii,2,Chronic NOEC (from EC50/10),Mortality,20.7,paraquat-fresh2024,chronic
paraquat,freshwater,Crustacean,Arthropoda,Daphnia,magna,,Neonates,2,Chronic NOEC (from EC50/10),Immobilisation,125,paraquat-fresh2024,chronic
paraquat,freshwater,Fish,Chordata,Oncorhynchus,mykiss,,Juveniles,1,Chronic NOEC (from LC50/10),Mortality,8.4,paraquat-fresh2024,chronic
paraquat,freshwater,Amphibian,Chordata,Xenopus,laevis,,Embryo,5,Chronic NOEC (from LC50/10),Mortality,13.8,paraquat-fresh2024,chronic
picloram,freshwater,Microalga,Chlorophyta,Raphidocelis,subcapitata,,Not stated,4,Chronic NOEC,Growth,8944,picloram-fresh2023,chronic
picloram,freshwater,Microalga,Chlorophyta,Chlorella,vulgaris,,Not stated,4,Chronic NOEC,Growth,10000,picloram-fresh2023,chronic
picloram,freshwater,Crustacean,Arthropoda,Gammarus,pseudolimnaeus,,Juvenile,4,Chronic NOEC (from LC50/10),Mortality,1650,picloram-fresh2023,chronic
picloram,freshwater,Crustacean,Arthropoda,Gammarus,fasciculatus,,Adult,4,Chronic NOEC (from LC50/10),Mortality,2700,picloram-fresh2023,chronic
picloram,freshwater,Crustacean,Arthropoda,Daphnia,magna,,Neonate,21,Chronic NOEC,Reproduction,11800,picloram-fresh2023,chronic
picloram,freshwater,Insect,Arthropoda,Pteronarcys,californica,,YC-2,10,Chronic NOEC (from LC50/10),Mortality,4800,picloram-fresh2023,chronic
picloram,freshwater,Fish,Chordata,Ictalurus,punctatus,,Juvenile,4,Chronic NOEC (from LC50/10),Mortality,140,picloram-fresh2023,chronic
picloram,freshwater,Fish,Chordata,Oncorhynchus,clarkii,,Juvenile,4,Chronic NOEC (from LC50/10),Mortality,229,picloram-fresh2023,chronic
picloram,freshwater,Fish,Chordata,Salvelinus,namaycush,,Juvenile,4,Chronic NOEC (from LC50/10),Mortality,236,picloram-fresh2023,chronic
picloram,freshwater,Fish,Chordata,Oncorhynchus,mykiss,,Embryo,60,Chronic NOEC,Growth,550,picloram-fresh2023,chronic
picloram,freshwater,Fish,Chordata,Lepomis,macrochirus,,Juvenile,4,Chronic NOEC (from LC50/10),Mortality,2226,picloram-fresh2023,chronic
picloram,freshwater,Fish,Chordata,Pimephales,promelas,,Juvenile,4,Chronic NOEC (from LC50/10),Mortality,5530,picloram-fresh2023,chronic
simazine,freshwater,Arthropoda,Arthropoda,Daphnia,magna,,Not stated,21,Chronic LOEC,Mortality,1000,simazine-fresh2024,chronic
simazine,freshwater,Diatom,Bacillariophyta,Navicula,pelliculosa,,Not stated,5,Chronic EC50,Cell density,18,simazine-fresh2024,chronic
simazine,freshwater,Green alga,Chlorophyta,Chlamydomonas,geitleri,,Exponential growth phase,3,Chronic EC50,Growth rate,171,simazine-fresh2024,chronic
simazine,freshwater,Green alga,Chlorophyta,Chlorella,pyrenoidosa,,Not stated,6,Chronic EC50,Abundance,65,simazine-fresh2024,chronic
simazine,freshwater,Green alga,Chlorophyta,Chlorella,vulgaris,,Not stated,4,Chronic EC50,Abundance,435,simazine-fresh2024,chronic
simazine,freshwater,Green alga,Chlorophyta,Pseudokirchneriella,subcapitata,,Not stated,3,Chronic NOEC,Growth rate,32,simazine-fresh2024,chronic
simazine,freshwater,Green alga,Chlorophyta,Scenedesmus,obliquus,,Not stated,4,Chronic EC50,Growth rate,51.4,simazine-fresh2024,chronic
simazine,freshwater,Green alga,Chlorophyta,Scenedesmus,quadricauda,,Not stated,4,Chronic EC50,Abundance,30,simazine-fresh2024,chronic
simazine,freshwater,Fish,Chordata,Carassius,auratus,,Not stated,365,Chronic LOEC,Mortality,1000,simazine-fresh2024,chronic
simazine,freshwater,Fish,Chordata,Cyprinus,carpio,,Not stated,90,Chronic NOEC,Weight and mortality,45,simazine-fresh2024,chronic
simazine,freshwater,Fish,Chordata,Lepomis,macrochirus,,Not stated,365,Chronic LOEC,Mortality,1000,simazine-fresh2024,chronic
simazine,freshwater,Fish,Chordata,Oncorhynchus,mykiss,,Not stated,28,Chronic EC50,Mortality,500,simazine-fresh2024,chronic
simazine,freshwater,Fish,Chordata,Pimephales,promelas,,Early life stage,120,Chronic LOEC,Mortality,1000,simazine-fresh2024,chronic
simazine,freshwater,Cyanobacteria,Cyanobacteria,Anabaena,flos-aquae,,Not stated,5,Chronic EC50,Cell density,7.2,simazine-fresh2024,chronic
simazine,freshwater,Macrophyte,Tracheophyta,Acorus,gramineus,,Not stated,7,Chronic NOEC,Fresh weight,100,simazine-fresh2024,chronic
simazine,freshwater,Macrophyte,Tracheophyta,Lemna,gibba,,Not stated,14,Chronic EC50,Biomass yield,28,simazine-fresh2024,chronic
simazine,freshwater,Macrophyte,Tracheophyta,Myriophyllum,aquaticum,,2 weeks old,7,Chronic LOEC,Fresh weight,20,simazine-fresh2024,chronic
simazine,freshwater,Macrophyte,Tracheophyta,Pontederia,cordata,,Not stated,7,Chronic NOEC,Fresh weight,100,simazine-fresh2024,chronic
simazine,freshwater,Macrophyte,Tracheophyta,Typha,latifolia,,Not stated,7,Chronic NOEC,Fresh weight,300,simazine-fresh2024,chronic
simazine,freshwater,Macrophyte,Tracheophyta,Vallisneria,americana,,Not stated,13,Chronic NOAEC,Length,58,simazine-fresh2024,chronic
simazine,marine,Diatom,Bacillariophyta,Ceratoneis,closterium,,Exponential growth phase,3,Chronic IC10,Growth rate,310,simazine-marine2026,chronic
simazine,marine,Green microalga,Chlorophyta,Chlorococcum,sp.,,Not stated,10,Chronic EC50,Cell density,400,simazine-marine2026,chronic
simazine,marine,Bivalve,Mollusca,Crassostrea,virginica,,Spat,7,Chronic NOEL,Mortality and abnormal development,1000,simazine-marine2026,chronic
simazine,marine,Dinoflagellate,Dinoflagellata,Cladocopium,goreaui,,Exponential growth phase,14,Chronic EC10,Growth rate,257,simazine-marine2026,chronic
simazine,marine,Green microalga,Chlorophyta,Dunaliella,tertiolecta,,Not stated,10,Chronic EC50,Cell density,1000,simazine-marine2026,chronic
simazine,marine,Golden-brown microalga,Haptophyta,Isochrysis,galbana,,Not stated,10,Chronic EC50,Cell density,100,simazine-marine2026,chronic
simazine,marine,Crustacean,Arthropoda,Neopanope,texana,,Not stated,4,Chronic NOEC (from LC50/10),Mortality,100000,simazine-marine2026,chronic
simazine,marine,Crustacean,Arthropoda,Palaemonetes,kadiakensis,,Not stated,2,Chronic NOEC (from LC50/10),Mortality,10000,simazine-marine2026,chronic
simazine,marine,Crustacean,Arthropoda,Penaeus,duorarum,,Not stated,4,Chronic NOEC (from LC50/10),Mortality,11300,simazine-marine2026,chronic
simazine,marine,Diatom,Bacillariophyta,Phaeodactylum,tricornutum,,Exponential growth phase,3,Chronic IC10,Growth rate,100,simazine-marine2026,chronic
simazine,marine,Cryptomonad,Cryptophyta,Rhodomonas,salina,,Exponential growth phase,3,Chronic EC10,Growth rate,38.4,simazine-marine2026,chronic
simazine,marine,Diatom,Bacillariophyta,Skeletonema,costatum,,Not stated,5,Chronic NOEL,Cell density,250,simazine-marine2026,chronic
simazine,marine,Green microalga,Chlorophyta,Tetraselmis,sp.,,Exponential growth phase,3,Chronic NEC/EC10,Growth rate,37.5,simazine-marine2026,chronic
simazine,marine,Golden-brown microalga,Haptophyta,Tisochrysis,lutea,,Exponential growth phase,3,Chronic EC10,Growth rate,60.2,simazine-marine2026,chronic
sulfometuron_methyl,freshwater,Green alga,Chlorophyta,Raphidocelis,subcapitata,,Not stated,5,Chronic NOEC,Growth,0.63,sulfometuron-methyl-fresh2024,chronic
sulfometuron_methyl,freshwater,Cyanobacterium,Cyanobacteria,Anabaena,flos-aquae,,Not stated,5,Chronic NOEC,Growth,14,sulfometuron-methyl-fresh2024,chronic
sulfometuron_methyl,freshwater,Diatom,Bacillariophyta,Navicula,pelliculosa,,Not stated,5,Chronic NOEC,Growth,370,sulfometuron-methyl-fresh2024,chronic
sulfometuron_methyl,freshwater,Macrophyte,Tracheophyta,Lemna,gibba,,Not stated,14,Chronic NOEC,Growth,0.20700000000000002,sulfometuron-methyl-fresh2024,chronic
sulfometuron_methyl,freshwater,Crustacean,Arthropoda,Daphnia,magna,,Neonates,21,Chronic NOEC,Reproduction,6100,sulfometuron-methyl-fresh2024,chronic
sulfometuron_methyl,freshwater,Amphibian,Chordata,Xenopus,laevis,,Embryos,30,Chronic NOEC,Development,1000,sulfometuron-methyl-fresh2024,chronic
zinc,marine,Diatom,Ochrophyta,Entomoneis,punctulata,,Log phase,2,Chronic EC50,Population growth rate,153,zinc-marine2021,chronic
zinc,marine,Diatom,Ochrophyta,Ceratoneis,closterium,,Log phase,3,Chronic IC10,Population growth rate,84,zinc-marine2021,chronic
zinc,marine,Green alga,Chlorophyta,Dunaliella,tertiolecta,,NR,3,Chronic EC50,Mortality,54,zinc-marine2021,chronic
zinc,marine,Green alga,Chlorophyta,Ulva,fasiata,,Zoospores,4,Chronic NOEC,Growth and germination,143,zinc-marine2021,chronic
zinc,marine,Brown alga,Ochrophyta,Macrocystis,pyrifera,,Zoospores,16,Chronic NOEC,Reproduction,1070,zinc-marine2021,chronic
zinc,marine,Annelid,Annelida,Hydroides,elegans,,Larvae,4,Chronic EC50,Development,24,zinc-marine2021,chronic
zinc,marine,Anemone,Cnidaria,Aiptasia,pulchella,,Adult,28,Chronic EC10,Reproduction,9,zinc-marine2021,chronic
zinc,marine,Crustacean,Arthropoda,Allorchestes,compressa,,Juveniles,28,Chronic LC10,Mortality,62,zinc-marine2021,chronic
zinc,marine,Crustacean,Arthropoda,Callianassa,australiensis,,Adult,14,Chronic EC50,Immobilisation,230,zinc-marine2021,chronic
zinc,marine,Mollusc,Mollusca,Crassostrea,gigas,,Embryos,2,Chronic EC50,Development,24,zinc-marine2021,chronic
zinc,marine,Mollusc,Mollusca,Haliotis,diversicolor,,NR,28,Chronic NOEC,Growth,64,zinc-marine2021,chronic
zinc,marine,Mollusc,Mollusca,Mimachlamys,asperrima,,Larvae,2,Chronic NOEC,Development,5,zinc-marine2021,chronic
zinc,marine,Mollusc,Mollusca,Mytilus,edulis,,Eggs/Larvae,2,Chronic EC50,Development,35,zinc-marine2021,chronic
zinc,marine,Mollusc,Mollusca,Mytilus,galloprovincialis,,Embryos,2,Chronic EC50,Development,36,zinc-marine2021,chronic
zinc,marine,Mollusc,Mollusca,Mytilus,trossulus,,Embryos,2,Chronic EC20,Development,64,zinc-marine2021,chronic
zinc,marine,Mollusc,Mollusca,Saccostrea,glomerata,,Larvae,14,Chronic LC50,Mortality,2080,zinc-marine2021,chronic
copper,marine,Diatom,Bacillariophyta,Entomoneis,punctulata,,Exponential growth,3,IC10,Population growth rate,1.4,copper-marine2025,chronic
copper,marine,Diatom,Bacillariophyta,Minutocellus,polymorphus,,Exponential growth,3,NOEC,Population growth rate,0.2,copper-marine2025,chronic
copper,marine,Diatom,Bacillariophyta,Ceratoneis,closterium,,Exponential growth,3,EC10,Population growth rate,3.3,copper-marine2025,chronic
copper,marine,Diatom,Bacillariophyta,Phaeodactylum,tricornutum,,Exponential growth,3,IC10-20,Population biomass/cell yield,1,copper-marine2025,chronic
copper,marine,Golden microalga,Haptophyta,Coccolithus,huxleyi,,Exponential growth,3,NOEC,Population growth rate,8.5,copper-marine2025,chronic
copper,marine,Golden microalga,Haptophyta,Gephyrocapsa,oceanica,,Exponential growth,3,NOEC,Population growth rate,1.3,copper-marine2025,chronic
copper,marine,Golden microalga,Haptophyta,Proteomonas,sulcata,,Exponential growth,3,EC50,Population growth rate,0.8400000000000001,copper-marine2025,chronic
copper,marine,Golden microalga,Haptophyta,Tisochrysis,lutea,,Exponential growth,3,EC10,Population growth rate,2.7,copper-marine2025,chronic
copper,marine,Cyanobacteria,Cyanobacteria,Cyanobium,sp.,,Exponential growth,3,EC10,Population abundance,300,copper-marine2025,chronic
copper,marine,Green microalga,Chlorophyta,Dunaliella,tertiolecta,,Exponential growth,3,NOEC,Population growth rate,8,copper-marine2025,chronic
copper,marine,Green microalga,Chlorophyta,Micromonas,pusilla,,Exponential growth,3,NOEC,Population growth rate,0.3,copper-marine2025,chronic
copper,marine,Green microalga,Chlorophyta,Tetraselmis,sp.,,Exponential growth,3,NOEC,Population growth rate,7,copper-marine2025,chronic
copper,marine,Green macroalga,Chlorophyta,Ulva,fasciata,,Zoospore,4,NOEC,Reproduction,27,copper-marine2025,chronic
copper,marine,Green macroalga,Chlorophyta,Ulva,lactuca,,Zoospore,3,EC10,Settlement and growth inhibition,56,copper-marine2025,chronic
copper,marine,Brown macroalga,Ochrophyta,Macrocystis,pyrifera,,Zoospore,20,LOEC,Sporophyte production,4.1,copper-marine2025,chronic
copper,marine,Brown macroalga,Ochrophyta,Fucus,vesiculosus,,Germling,14,NEC,Growth,17,copper-marine2025,chronic
copper,marine,Cnidarian,Cnidaria,Acropora,aspera,,Gamete,0.2,EC10,Fertilisation,5.8,copper-marine2025,chronic
copper,marine,Cnidarian,Cnidaria,Acropora,longicyathus,,Gamete,0.2,NOEC,Fertilisation,15.3,copper-marine2025,chronic
copper,marine,Cnidarian,Cnidaria,Acropora,tenuis,,Gamete,0.2,NOEC,Fertilisation,34,copper-marine2025,chronic
copper,marine,Cnidarian,Cnidaria,Coelastrea,aspera,,Gamete,0.2,NOEC,Fertilisation,13,copper-marine2025,chronic
copper,marine,Cnidarian,Cnidaria,Platygyra,daedalea,,Gamete,0.2,EC10,Fertilisation,16,copper-marine2025,chronic
copper,marine,Cnidarian,Cnidaria,Exaiptasia,diaphana,,Adult,28,EC10,Reproduction,9.8,copper-marine2025,chronic
copper,marine,Echinoderm,Echinodermata,Diadema,savignyi,,Embryo,2,NOEC,Development,9.6,copper-marine2025,chronic
copper,marine,Echinoderm,Echinodermata,Evechinus,chloroticus,,Larva,3,EC10,Development,2.1,copper-marine2025,chronic
copper,marine,Annelid,Annelida,Hydroides,elegans,,Gamete,8,NOEC,Metamorphosis,6.2,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Anadara,trapezia,,Embryo,2,NEC,Development,2.5,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Barnea,australasiae,,Embryo,2,NEC,Development,4.5,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Fulvia,tenuicostata,,Embryo,2,NEC,Development,3.6,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Hiatula,alba,,Embryo,2,NEC,Development,3.8,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Irus,crenatus,,Embryo,2,NEC,Development,6,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Magallana,gigas,,Embryo,2,NEC,Development,1.4,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Mimachlamys,asperrima,,Larva,2,NOEC,Development,2,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Mytilus,galloprovincialis,,Embryo,2,EC10,Development,4.8,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Mytilus,trossolus,,Embryo,2,EC20,Development,4.2,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Saccostrea,glomerata,,Larva,14,NEC,Mortality,1.5,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Scaeochlamys,livida,,Embryo,2,NEC,Development,2.2,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Spisula,trigonella,,Embryo,2,NEC,Development,5,copper-marine2025,chronic
copper,marine,Mollusc,Mollusca,Xenostrobus,securis,,Embryo,2,NEC,Development,1.9,copper-marine2025,chronic
copper,marine,Gastropod,Mollusca,Haliotis,iris,,Larva,3,EC10,Development,0.7,copper-marine2025,chronic
copper,marine,Gastropod,Mollusca,Nassarius,dorsatus,,Larvae,4,EC10,Larval growth,3.7,copper-marine2025,chronic
copper,marine,Crustacean,Arthropoda,Acartia,sinjiensis,,Eggs,3.3,EC10,Larval development,1,copper-marine2025,chronic
copper,marine,Crustacean,Arthropoda,Amphibalanus,amphitrite,,Larva,4,EC10,Metamorphosis,10,copper-marine2025,chronic
copper,marine,Crustacean,Arthropoda,Tisbe,furcata,,Life cycle,100,NOEC,Survival and reproduction,19,copper-marine2025,chronic
copper,marine,Fish,Chordata,Atherinops,affinis,,Larva,12,NOEC,Development,62,copper-marine2025,chronic
copper,marine,Fish,Chordata,Epinephelus,coioides,,Juvenile,25,NOEC,Growth,21,copper-marine2025,chronic
metsulfuron_methyl,freshwater,Blue-green alga,Cyanobacteria,Anabaena,flos-aquae,,Not stated,5,Chronic NOEL,Biomass yield and growth rate and AUC,95.4,metsulfuron-methyl-fresh2021,chronic
metsulfuron_methyl,freshwater,Macrophyte,Tracheophyta,Elodea,canadensis,Apical shoot (19.5 cm),Apical shoot,8,Chronic NOEC,Shoot length,0.054000000000000006,metsulfuron-methyl-fresh2021,chronic
metsulfuron_methyl,freshwater,Macrophyte,Tracheophyta,Lemna,gibba,,Not stated,7,Chronic EC10,Frond count,0.193,metsulfuron-methyl-fresh2021,chronic
metsulfuron_methyl,freshwater,Macrophyte,Tracheophyta,Lemna,minor,,Exponential growth phase,42,Chronic NOEC,Frond count,0.1,metsulfuron-methyl-fresh2021,chronic
metsulfuron_methyl,freshwater,Macrophyte,Tracheophyta,Myriophyllum,spicatum,,Apical shoot,14,Chronic LOEC,Root occurrence,0.4,metsulfuron-methyl-fresh2021,chronic
metsulfuron_methyl,freshwater,Diatom,Bacillariophyta,Navicula,pelliculosa,,Not stated,4,Chronic NOEL,Biomass yield and growth rate and AUC,92800,metsulfuron-methyl-fresh2021,chronic
metsulfuron_methyl,freshwater,Fish,Chordata,Oncorhynchus,mykiss,,Early life,90,Chronic NOEL,Mortality,4500,metsulfuron-methyl-fresh2021,chronic
metsulfuron_methyl,freshwater,Green alga,Chlorophyta,Pseudokirchneriella,subcapitata,,Not stated,5,Chronic NOEL,Biomass yield and growth rate and AUC,10,metsulfuron-methyl-fresh2021,chronic
perfluorooctane_sulfonate_pfos,freshwater,Amphibian,Chordata,Bufo,gargarizans,,Tadpole,30,LC10,Mortality,2000,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Amphibian,Chordata,Lithobates,catesbeiana,,Tadpole,72,LOEC,Growth,57.6,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Amphibian,Chordata,Lithobates,pipiens,,Tadpole,40,NOEC,Development,10,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Amphibian,Chordata,Xenopus,laevis,,Tadpole,36,NOEC,Growth,1250,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Amphibian,Chordata,Xenopus,tropicalis,,Embryo,150,NOEC,Growth,590,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Cyanobacteria,Cyanobacteria,Anabaena,flos-aquae,,Not stated,4,EC10,Growth and biomass,82000,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Ceriodaphnia,dubia,,Neonate,6,EC10,Reproduction,6900,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Cyclops,diaptomus,,Not stated,28,LOEC,Survival,400,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Cyclops,canthocamptus staphylinus,,Not stated,35,NOEC,Survival,1000,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Daphnia,carinata,,Neonate,21,LOEC,Reproduction,0.4,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Daphnia,magna,,Neonate,21,EC10,Intrinsic population growth,933,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Daphnia,pulicaria,,Neonate,21,NOEC,Survival,6000,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Hyalella,azteca,,Juvenile,42,EC10,Reproduction,700,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Moina,macrocopa,,Neonate,7,EC10,Reproduction,90.6,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Crustacean,Arthropoda,Procambarus,fallax f. virginalis,,Juvenile,28,NOEC,Survival,200,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Diatom,Bacillariophyta,Navicula,pelliculosa,,Not stated,4,EC10,Growth and cell density,62300,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Fish,Chordata,Anguilla,anguilla,,Adult,28,NOEC,Growth,11,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Fish,Chordata,Danio,rerio,,Embryo F1 generation,180,NOEC,Growth,16,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Fish,Chordata,Oryzias,latipes,,Embryo F1 generation,24,LOEC,Reproduction,4,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Fish,Chordata,Pimephales,promelas,,Larvae F1 generation,21,NOEC,Growth,44,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Fish,Chordata,Pseudorasbora,parva,,Adult,30,LC10,Mortality,2120,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Fish,Chordata,Xiphophorus,helleri,,Fry,90,LOEC,Growth,40,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Green microalga,Chlorophyta,Chlorella,vulgaris,,Not stated,4,IC10,Growth and biomass,8200,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Green alga,Chlorophyta,Desmodesmus,communis,,Exponential growth phase,4,EC10,Growth,49790,perfluorooctane-sulfonate-pfos-fresh2026,chronic
