scientificname,sources,n_rows,is_genus_placeholder,is_non_binomial,taxonomy_source,filter_level_used,status,accepted_name,aphia_id,gbif_key,rank_resolved,resolved_kingdom,resolved_phylum,resolved_class,resolved_order,resolved_family,resolved_genus,habitat,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus,hierarchy_match,taxonomy_provenance,manual_correction_applied,manual_corrected_query_name,manual_correction_note
Poecilia reticulata,"anztox,envirotox,wqbench",3107,FALSE,FALSE,wqbench,phylum,exact_filtered,Poecilia reticulata,154400,NA,Species,Animalia,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,Poecilia,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,TRUE,worms_full,FALSE,NA,NA
Oreochromis niloticus,"envirotox,wqbench",2912,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Oreochromis niloticus,293639,NA,Species,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Oreochromis,brackish|freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,TRUE,worms_full,FALSE,NA,NA
Americamysis bahia,"anztox,envirotox,wqbench",2884,FALSE,FALSE,wqbench,class,exact_filtered,Americamysis bahia,226286,NA,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Americamysis,marine|brackish,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Americamysis,TRUE,worms_full,FALSE,NA,NA
Daphnia pulex,"anztox,envirotox,wqbench",2564,FALSE,FALSE,wqbench,class,exact_filtered,Daphnia pulex,148375,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,brackish|freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,TRUE,worms_full,FALSE,NA,NA
Hyalella azteca,"anztox,envirotox,wqbench",2362,FALSE,FALSE,wqbench,class,exact_filtered,Hyalella azteca,158105,NA,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,freshwater,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,TRUE,worms_full,FALSE,NA,NA
Lemna gibba,"anztox,wqbench",2356,FALSE,FALSE,wqbench,genus,exact_filtered,Lemna gibba,1415712,NA,Species,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Lemna,freshwater,Plantae,Magnoliophyta,Liliopsida,Arales,Lemnaceae,Lemna,FALSE,worms_full,FALSE,NA,NA
Gambusia affinis,"anztox,envirotox,wqbench",2301,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Gambusia affinis,159325,NA,Species,Animalia,Chordata,Teleostei,Cyprinodontiformes,Poeciliidae,Gambusia,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,TRUE,worms_full,FALSE,NA,NA
Oreochromis mossambicus,"anztox,envirotox,wqbench",2196,FALSE,FALSE,wqbench,phylum,exact_filtered,Oreochromis mossambicus,218777,NA,Species,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Oreochromis,brackish|freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,TRUE,worms_full,FALSE,NA,NA
Lemna minor,"anztox,wqbench",2098,FALSE,FALSE,wqbench,genus,exact_filtered,Lemna minor,1415713,NA,Species,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Araceae,Lemna,freshwater,Plantae,Magnoliophyta,Liliopsida,Arales,Lemnaceae,Lemna,FALSE,worms_full,FALSE,NA,NA
Salmo salar,"anztox,envirotox,wqbench",2020,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Salmo salar,127186,NA,Species,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,TRUE,worms_full,FALSE,NA,NA
Oncorhynchus kisutch,"anztox,envirotox,wqbench",2003,FALSE,FALSE,wqbench,phylum,exact_filtered,Oncorhynchus kisutch,127184,NA,Species,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,TRUE,worms_full,FALSE,NA,NA
Chlorella vulgaris,"anztox,envirotox,wqbench",1897,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Chlorella vulgaris,532029,NA,Species,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Chlorella,TRUE,worms_full,FALSE,NA,NA
Chironomus riparius,"anztox,envirotox,wqbench",1879,FALSE,FALSE,wqbench,none,gbif_resolved,Chironomus riparius,NA,1448237,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,TRUE,gbif_full,FALSE,NA,NA
Microcystis aeruginosa,"anztox,envirotox,wqbench",1879,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Microcystis aeruginosa,146558,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,marine|freshwater,Monera,Cyanophycota,Cyanophyceae,Chroococcales,Chroococcaceae,Microcystis,FALSE,worms_full,FALSE,NA,NA
Gobiocypris rarus,"envirotox,wqbench",1859,FALSE,FALSE,wqbench,phylum,exact_unaccepted_filtered,Gobiocyproides rarus,1012121,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Gobionidae,Gobiocypris,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Gobiocypris,TRUE,worms_full,FALSE,NA,NA
Heteropneustes fossilis,"anztox,envirotox,wqbench",1707,FALSE,FALSE,wqbench,phylum,exact_filtered,Heteropneustes fossilis,281072,NA,Species,Animalia,Chordata,Teleostei,Siluriformes,Heteropneustidae,Heteropneustes,brackish|freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,Heteropneustidae,Heteropneustes,TRUE,worms_full,FALSE,NA,NA
Chlorella pyrenoidosa,"anztox,envirotox,wqbench",1678,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Auxenochlorella pyrenoidosa,578656,NA,Species,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Chlorella,freshwater,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Chlorella,TRUE,worms_full,FALSE,NA,NA
Brachionus calyciflorus,"anztox,envirotox,wqbench",1670,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Brachionus calyciflorus,134980,NA,Species,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,brackish|freshwater,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,TRUE,worms_full,FALSE,NA,NA
Channa punctata,"envirotox,wqbench",1647,FALSE,FALSE,wqbench,phylum,exact_filtered,Channa punctata,280129,NA,Species,Animalia,Chordata,Teleostei,Anabantiformes,Channidae,Channa,brackish|freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Channidae,Channa,TRUE,worms_full,FALSE,NA,NA
Crassostrea virginica,"anztox,envirotox,wqbench",1647,FALSE,FALSE,wqbench,class,exact_filtered,Crassostrea virginica,140657,NA,Species,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,marine,Animalia,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,TRUE,worms_full,FALSE,NA,NA
Aedes aegypti,"anztox,envirotox,wqbench",1618,FALSE,FALSE,wqbench,class,exact_filtered,Aedes aegypti,1490815,NA,Species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,terrestrial,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,TRUE,worms_full,FALSE,NA,NA
Labeo rohita,"anztox,envirotox,wqbench",1615,FALSE,FALSE,wqbench,phylum,exact_filtered,Labeo rohita,281240,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Labeo,brackish|freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Labeo,TRUE,worms_full,FALSE,NA,NA
Salvelinus fontinalis,"anztox,envirotox,wqbench",1614,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Salvelinus fontinalis,154241,NA,Species,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,TRUE,worms_full,FALSE,NA,NA
Fundulus heteroclitus,"anztox,envirotox,wqbench",1611,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Fundulus heteroclitus,159306,NA,Species,Animalia,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,marine|brackish|freshwater,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,TRUE,worms_full,FALSE,NA,NA
Desmodesmus subspicatus,"anztox,envirotox,wqbench",1559,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Desmodesmus subspicatus,612515,NA,Species,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Desmodesmus,freshwater,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Desmodesmus,TRUE,worms_full,FALSE,NA,NA
Skeletonema costatum,"anztox,envirotox,wqbench",1516,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Skeletonema costatum,149074,NA,Species,Chromista,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,marine,Chromista,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,FALSE,worms_full,FALSE,NA,NA
Mytilus galloprovincialis,"anztox,envirotox,wqbench",1475,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Mytilus galloprovincialis,140481,NA,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,marine,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Mytilus,TRUE,worms_full,FALSE,NA,NA
