accepted_name,genus,n_rows_clean,resolution_status,taxonomy_provenance,sample_original_name
Chlorella sp.,Chlorella,476,genus_resolved,worms_full,Chlorella sp.
Artemia sp.,Artemia,410,genus_resolved,worms_full,Artemia sp.
Chironomus sp.,Chironomus,251,genus_resolved,worms_full,Chironomus sp.
Palaemonetes sp.,Palaemonetes,212,genus_resolved,worms_full,Palaemonetes sp.
Hexagenia sp.,Hexagenia,161,genus_resolved,worms_full,Hexagenia sp.
Chaoborus,Chaoborus,130,gbif_resolved,gbif_full,Chaoborus sp
Anabaena sp.,Anabaena,127,genus_resolved,worms_full,Anabaena sp.
Scenedesmus sp.,Scenedesmus,126,genus_resolved,worms_full,Scenedesmus sp.
Cyclops sp.,Cyclops,125,genus_resolved,worms_full,Cyclops sp.
Synechocystis sp.,Synechocystis,123,genus_resolved,worms_full,Synechocystis sp.
Deleatidium,Deleatidium,108,gbif_resolved,gbif_full,Deleatidium sp
Artemia sp,Artemia,105,genus_resolved,worms_full,Artemia sp
Ceriodaphnia sp.,Ceriodaphnia,100,genus_resolved,worms_full,Ceriodaphnia sp.
Xenopus sp.,Xenopus,100,genus_resolved,worms_full,Xenopus sp.
Daphnia sp.,Daphnia,95,genus_resolved,worms_full,Daphnia sp.
Caenis sp.,Caenis,94,genus_resolved,worms_full,Caenis sp.
Corbicula sp.,Corbicula,94,genus_resolved,worms_full,Corbicula sp.
Cloeon sp.,Cloeon,92,genus_resolved,worms_full,Cloeon sp.
Chlorococcum sp.,Chlorococcum,91,genus_resolved,worms_full,Chlorococcum sp.
Chlamydomonas sp.,Chlamydomonas,90,genus_resolved,worms_full,Chlamydomonas sp.
Symbiodinium sp.,Symbiodinium,90,unresolved,source_native_fallback,Symbiodinium sp.
Procambarus sp.,Procambarus,89,genus_resolved,worms_full,Procambarus sp.
Microcystis sp.,Microcystis,85,genus_resolved,worms_full,Microcystis sp.
Lemna sp.,Lemna,83,genus_resolved,worms_full,Lemna sp.
Nitzschia sp.,Nitzschia,82,genus_resolved,worms_full,Nitzschia sp.
Palaemonetes sp,Palaemonetes,80,genus_resolved,worms_full,Palaemonetes sp
Rhithrogena,Rhithrogena,80,gbif_resolved,gbif_full,Rhithrogena sp.
Cylindrospermum sp.,Cylindrospermum,79,genus_resolved,worms_full,Cylindrospermum sp.
Lymnaea sp.,Lymnaea,79,genus_resolved,worms_full,Lymnaea sp.
Oophila sp.,Oophila,79,genus_resolved,worms_full,Oophila sp.
Orthocladiinae,NA,78,exact_filtered,worms_full,Orthocladiinae
Chlorella sp,Chlorella,73,genus_resolved,worms_full,Chlorella sp
Cryptomonas sp.,Cryptomonas,72,genus_resolved,worms_full,Cryptomonas sp.
Gammarus sp.,Gammarus,70,genus_resolved,worms_full,Gammarus sp.
Hydropsyche sp.,Hydropsyche,69,genus_resolved,worms_full,Hydropsyche sp.
Isonychia,Isonychia,67,gbif_resolved,gbif_full,Isonychia sp
Daphnia sp,Daphnia,66,genus_resolved,worms_full,Daphnia sp
Ictalurus sp,Ictalurus,66,genus_resolved,worms_full,Ictalurus sp
Synechococcus sp.,Synechococcus,66,genus_resolved,worms_full,Synechococcus sp.
Artemia,Artemia,62,exact_unaccepted_filtered,worms_full,Artemia parthenogenetica
Najas sp.,Najas,61,genus_resolved,worms_full,Najas sp.
Gambusia sp.,Gambusia,60,genus_resolved,worms_full,Gambusia sp.
Leptoxis sp.,Leptoxis,60,genus_resolved,worms_full,Leptoxis sp.
Dunaliella sp.,Dunaliella,59,genus_resolved,worms_full,Dunaliella sp.
Leptolyngbya sp.,Leptolyngbya,59,genus_resolved,worms_full,Leptolyngbya sp.
Ankistrodesmus sp.,Ankistrodesmus,57,genus_resolved,worms_full,Ankistrodesmus sp.
Culex sp.,Culex,56,genus_resolved,worms_full,Culex sp.
Simocephalus sp.,Simocephalus,56,genus_resolved,worms_full,Simocephalus sp.
Carassius sp.,Carassius,55,genus_resolved,worms_full,Carassius sp.
Priopidichthys,Priopidichthys,52,gbif_resolved,gbif_full,Priopidichthys sp.
Peltodytes,Peltodytes,50,gbif_resolved,gbif_full,Peltodytes sp.
Polypedilum sp.,Polypedilum,49,genus_resolved,worms_full,Polypedilum sp.
Salvelinus sp.,Salvelinus,49,genus_resolved,worms_full,Salvelinus sp.
Diporeia sp.,Diporeia,48,genus_resolved,worms_full,Diporeia sp.
Lepidostoma sp.,Lepidostoma,48,genus_resolved,worms_full,Lepidostoma sp.
Tilapia sp.,Tilapia,46,genus_resolved,worms_full,Tilapia sp.
Alona sp.,Alona,45,genus_resolved,worms_full,Alona sp.
Ophiogomphus,Ophiogomphus,45,gbif_resolved,gbif_full,Ophiogomphus sp
Saccostrea sp.,Saccostrea,45,genus_resolved,worms_full,Saccostrea sp.
Gyraulus sp.,Gyraulus,44,genus_resolved,worms_full,Gyraulus sp.
Oscillatoria sp.,Oscillatoria,44,genus_resolved,worms_full,Oscillatoria sp.
Asellus sp.,Asellus,43,genus_resolved,worms_full,Asellus sp.
