accepted_name,genus,n_rows_clean,resolution_status,taxonomy_provenance,sample_original_name
Baetis sp.,Baetis,43,genus_resolved,worms_full,Baetis sp.
Cheumatopsyche sp.,Cheumatopsyche,42,genus_resolved,worms_full,Cheumatopsyche sp.
Diatoma sp.,Diatoma,42,unresolved,source_native_fallback,Diatoma sp.
Panagrellus,Panagrellus,42,gbif_resolved,gbif_full,Panagrellus silusiae
Polyarthra sp.,Polyarthra,42,genus_resolved,worms_full,Polyarthra sp.
Chydorus sp.,Chydorus,40,genus_resolved,worms_full,Chydorus sp.
Mytilus sp.,Mytilus,40,genus_resolved,worms_full,Mytilus sp.
Paraleptophlebia,Paraleptophlebia,39,gbif_resolved,gbif_full,Paraleptophlebia sp.
Scapholeberis sp.,Scapholeberis,39,genus_resolved,worms_full,Scapholeberis sp.
Perca sp.,Perca,38,genus_resolved,worms_full,Perca sp.
Notonecta,Notonecta,36,gbif_resolved,gbif_full,Notonecta sp
Cyanobium sp.,Cyanobium,35,genus_resolved,worms_full,Cyanobium sp.
Ephemerella sp.,Ephemerella,35,unresolved,source_native_fallback,Ephemerella sp.
Hyalella sp.,Hyalella,35,genus_resolved,worms_full,Hyalella sp.
Maccaffertium,Maccaffertium,35,gbif_resolved,gbif_full,Maccaffertium sp.
Tilapia sp,Tilapia,35,genus_resolved,worms_full,Tilapia sp
Isogenus,Isogenus,34,gbif_resolved,gbif_full,Isogenus sp.
Pycnopsyche,Pycnopsyche,34,gbif_resolved,gbif_full,Pycnopsyche sp
Chaetoceros sp.,Chaetoceros,33,genus_resolved,worms_full,Chaetoceros sp.
Gomphonema,Gomphonema,33,gbif_resolved,gbif_full,Gomphonema sp.
Limnephilus sp.,Limnephilus,33,genus_resolved,worms_full,Limnephilus sp.
Tanypodinae,NA,33,exact_filtered,worms_full,Tanypodinae
Cymbella sp.,Cymbella,32,genus_resolved,worms_full,Cymbella sp.
Nannochloropsis sp.,Nannochloropsis,32,genus_resolved,worms_full,Nannochloropsis sp.
Chroococcus sp.,Chroococcus,31,genus_resolved,worms_full,Chroococcus sp.
Eichhornia sp.,Eichhornia,31,genus_resolved,worms_full,Eichhornia sp.
Navicula sp.,Navicula,31,genus_resolved,worms_full,Navicula sp.
Perca sp,Perca,31,genus_resolved,worms_full,Perca sp
Simocephalus sp,Simocephalus,31,genus_resolved,worms_full,Simocephalus sp
Pseudanabaena sp.,Pseudanabaena,30,genus_resolved,worms_full,Pseudanabaena sp.
Enallagma sp.,Enallagma,29,unresolved,source_native_fallback,Enallagma sp.
Hizikia,Hizikia,29,gbif_resolved,gbif_full,Hizikia fusiforme
Trichodina sp.,Trichodina,29,genus_resolved,worms_full,Trichodina sp.
Cricotopus sp.,Cricotopus,28,genus_resolved,worms_full,Cricotopus sp.
Procladius sp.,Procladius,28,genus_resolved,worms_full,Procladius sp.
Pyramimonas sp.,Pyramimonas,28,genus_resolved,worms_full,Pyramimonas sp.
Ambassis sp.,Ambassis,27,genus_resolved,worms_full,Ambassis sp.
Bosmina sp.,Bosmina,27,genus_resolved,worms_full,Bosmina sp.
Penaeus sp.,Penaeus,27,genus_resolved,worms_full,Penaeus sp.
Scapholeberis sp,Scapholeberis,27,genus_resolved,worms_full,Scapholeberis sp
Ceriodaphnia sp,Ceriodaphnia,26,genus_resolved,worms_full,Ceriodaphnia sp
Gyrinus sp.,Gyrinus,26,genus_resolved,worms_full,Gyrinus sp.
Brotia sp.,Brotia,25,genus_resolved,worms_full,Brotia sp.
Nitocris sp,Nitocris,25,genus_resolved,worms_full,Nitocris sp
Stenonema sp.,Stenonema,25,unresolved,source_native_fallback,Stenonema sp.
Ambystoma sp.,Ambystoma,24,genus_resolved,worms_full,Ambystoma sp.
Amnicola sp.,Amnicola,24,genus_resolved,worms_full,Amnicola sp.
Callibaetis,Callibaetis,24,gbif_resolved,gbif_full,Callibaetis sp.
Desmodesmus sp.,Desmodesmus,24,genus_resolved,worms_full,Desmodesmus sp.
Diaptomus sp.,Diaptomus,24,genus_resolved,worms_full,Diaptomus sp.
Guignotus,Hydroglyphus,24,gbif_resolved,gbif_full,Guignotus japonicus
Paratanytarsus,Paratanytarsus,24,gbif_resolved,gbif_full,Paratanytarsus sp.
Pseudanabaena,Pseudanabaena,24,gbif_resolved,gbif_full,Pseudanabaena foetida
Selenastrum sp.,Selenastrum,24,genus_resolved,worms_full,Selenastrum sp.
Synchaeta sp.,Synchaeta,24,genus_resolved,worms_full,Synchaeta sp.
Synechococcus sp,Synechococcus,24,genus_resolved,worms_full,Synechococcus sp
Tetrahymena sp.,Tetrahymena,24,genus_resolved,worms_full,Tetrahymena sp.
Trichocerca sp.,Trichocerca,24,genus_resolved,worms_full,Trichocerca sp.
Alona sp,Alona,23,genus_resolved,worms_full,Alona sp
Stenelmis,Stenelmis,23,gbif_resolved,gbif_full,Stenelmis sp.
Tipula sp.,Tipula,23,genus_resolved,worms_full,Tipula sp.
Tubifex sp.,Tubifex,23,genus_resolved,worms_full,Tubifex sp.
Aedes sp.,Aedes,22,genus_resolved,worms_full,Aedes sp.
Morone sp.,Morone,22,genus_resolved,worms_full,Morone sp.
Nostoc sp.,Nostoc,22,genus_resolved,worms_full,Nostoc sp.
Physa sp.,Physa,22,genus_resolved,worms_full,Physa sp.
Anuraeopsis sp.,Anuraeopsis,21,genus_resolved,worms_full,Anuraeopsis sp.
Chlamydomonas sp,Chlamydomonas,21,genus_resolved,worms_full,Chlamydomonas sp
Dugesia sp.,Dugesia,21,genus_resolved,worms_full,Dugesia sp.
Euchlanis sp.,Euchlanis,21,genus_resolved,worms_full,Euchlanis sp.
Hydra sp.,Hydra,21,genus_resolved,worms_full,Hydra sp.
Spirogyra sp.,Spirogyra,21,genus_resolved,worms_full,Spirogyra sp.
Atalophlebia,Atalophlebia,20,gbif_resolved,gbif_full,Atalophlebia sp.
Coenagrion sp.,Coenagrion,20,genus_resolved,worms_full,Coenagrion sp.
Cricotopus sp,Cricotopus,20,genus_resolved,worms_full,Cricotopus sp
Epeorus,Epeorus,20,gbif_resolved,gbif_full,Epeorus sp.
Polyarthra sp,Polyarthra,20,genus_resolved,worms_full,Polyarthra sp
Trichocorixa sp.,Trichocorixa,20,genus_resolved,worms_full,Trichocorixa sp.
Ambassis sp,Ambassis,19,genus_resolved,worms_full,Ambassis sp
Arrenurus,Arrenurus,19,gbif_resolved,gbif_full,Arrenurus sp.
Gammarus sp,Gammarus,19,genus_resolved,worms_full,Gammarus sp
Lecane sp.,Lecane,19,genus_resolved,worms_full,Lecane sp.
Platymonas sp.,Platymonas,19,genus_resolved,worms_full,Platymonas sp.
Sphaerium sp.,Sphaerium,19,genus_resolved,worms_full,Sphaerium sp.
Tanytarsini,NA,19,exact_filtered,worms_full,Tanytarsini
Capitella sp.,Capitella,18,genus_resolved,worms_full,Capitella sp.
Chironomus sp,Chironomus,18,genus_resolved,worms_full,Chironomus sp
Chydorus sp,Chydorus,18,genus_resolved,worms_full,Chydorus sp
Cyclops sp,Cyclops,18,genus_resolved,worms_full,Cyclops sp
Echinoparyphium sp.,Echinoparyphium,18,genus_resolved,worms_full,Echinoparyphium sp.
Urotricha sp.,Urotricha,18,genus_resolved,worms_full,Urotricha sp.
Caecidotea sp.,Caecidotea,17,genus_resolved,worms_full,Caecidotea sp.
Cylindrospermum sp,Cylindrospermum,17,genus_resolved,worms_full,Cylindrospermum sp
Diaptomus sp,Diaptomus,17,genus_resolved,worms_full,Diaptomus sp
Dytiscus sp.,Dytiscus,17,genus_resolved,worms_full,Dytiscus sp.
Eucyclops sp.,Eucyclops,17,genus_resolved,worms_full,Eucyclops sp.
Lepadella sp.,Lepadella,17,genus_resolved,worms_full,Lepadella sp.
Mesocyclops sp.,Mesocyclops,17,genus_resolved,worms_full,Mesocyclops sp.
Microcystis sp,Microcystis,17,genus_resolved,worms_full,Microcystis sp
Myriophyllum sp.,Myriophyllum,17,genus_resolved,worms_full,Myriophyllum sp.
Pavlova sp.,Pavlova,17,genus_resolved,worms_full,Pavlova sp.
Synedra sp.,Synedra,17,genus_resolved,worms_full,Synedra sp.
Eualus sp.,Eualus,16,genus_resolved,worms_full,Eualus sp.
Holopedium sp.,Holopedium,16,genus_resolved,worms_full,Holopedium sp.
Larsia,Larsia,16,gbif_resolved,gbif_full,Larsia sp.
Macrobrachium sp.,Macrobrachium,16,genus_resolved,worms_full,Macrobrachium sp.
Mesostoma sp.,Mesostoma,16,genus_resolved,worms_full,Mesostoma sp.
Neocaridina sp.,Neocaridina,16,genus_resolved,worms_full,Neocaridina sp.
Procladius sp,Procladius,16,genus_resolved,worms_full,Procladius sp
Pseudodactylogyrus sp.,Pseudodactylogyrus,16,genus_resolved,worms_full,Pseudodactylogyrus sp.
Simulium sp.,Simulium,16,genus_resolved,worms_full,Simulium sp.
Anculosa sp,Anculosa,15,genus_resolved,worms_full,Anculosa sp
Anopheles sp.,Anopheles,15,genus_resolved,worms_full,Anopheles sp.
Anuraeopsis sp,Anuraeopsis,15,genus_resolved,worms_full,Anuraeopsis sp
Cocconeis sp.,Cocconeis,15,genus_resolved,worms_full,Cocconeis sp.
Cypridopsis sp.,Cypridopsis,15,genus_resolved,worms_full,Cypridopsis sp.
Macromia,Macromia,15,gbif_resolved,gbif_full,Macromia sp.
Melita sp.,Melita,15,genus_resolved,worms_full,Melita sp.
Onchidium sp.,Onchidium,15,genus_resolved,worms_full,Onchidium sp.
Polycelis sp.,Polycelis,15,genus_resolved,worms_full,Polycelis sp.
Procambarus sp,Procambarus,15,genus_resolved,worms_full,Procambarus sp
Quinquelaophonte sp.,Quinquelaophonte,15,genus_resolved,worms_full,Quinquelaophonte sp.
Scenedesmus sp,Scenedesmus,15,genus_resolved,worms_full,Scenedesmus sp
Skwala,Skwala,15,gbif_resolved,gbif_full,Skwala sp
Tetraselmis sp.,Tetraselmis,15,genus_resolved,worms_full,Tetraselmis sp.
Ablabesmyia sp.,Ablabesmyia,14,genus_resolved,worms_full,Ablabesmyia sp.
Alonella sp,Alonella,14,genus_resolved,worms_full,Alonella sp
Cephalodella sp.,Cephalodella,14,genus_resolved,worms_full,Cephalodella sp.
Chlorococcum sp,Chlorococcum,14,genus_resolved,worms_full,Chlorococcum sp
Cyclotella sp.,Cyclotella,14,genus_resolved,worms_full,Cyclotella sp.
Glossiphonia sp.,Glossiphonia,14,genus_resolved,worms_full,Glossiphonia sp.
Philodina sp.,Philodina,14,genus_resolved,worms_full,Philodina sp.
Ploesoma sp.,Ploesoma,14,genus_resolved,worms_full,Ploesoma sp.
Staurastrum sp.,Staurastrum,14,genus_resolved,worms_full,Staurastrum sp.
Anabaena sp,Anabaena,13,genus_resolved,worms_full,Anabaena sp
Argia,Argia,13,gbif_resolved,gbif_full,Argia sp.
Chroomonas sp.,Chroomonas,13,genus_resolved,worms_full,Chroomonas sp.
Cypria sp,Cypria,13,genus_resolved,worms_full,Cypria sp
Diaphanosoma sp.,Diaphanosoma,13,genus_resolved,worms_full,Diaphanosoma sp.
Echinisca,Macrothrix,13,gbif_resolved,gbif_full,Echinisca triserialis
Goniobasis sp.,Goniobasis,13,genus_resolved,worms_full,Goniobasis sp.
Tanytarsus sp.,Tanytarsus,13,genus_resolved,worms_full,Tanytarsus sp.
Acroneuria,Acroneuria,12,gbif_resolved,gbif_full,Acroneuria sp.
Cassiopea sp.,Cassiopea,12,genus_resolved,worms_full,Cassiopea sp.
Ceratophyllum sp.,Ceratophyllum,12,genus_resolved,worms_full,Ceratophyllum sp.
Cleidodiscus sp.,Cleidodiscus,12,genus_resolved,worms_full,Cleidodiscus sp.
Egeria sp.,Egeria,12,unresolved,source_native_fallback,Egeria sp.
Eucyclops sp,Eucyclops,12,genus_resolved,worms_full,Eucyclops sp
Euplotes sp.,Euplotes,12,genus_resolved,worms_full,Euplotes sp.
Ischnura sp.,Ischnura,12,genus_resolved,worms_full,Ischnura sp.
Isochrysis sp.,Isochrysis,12,genus_resolved,worms_full,Isochrysis sp.
Mougeotia sp.,Mougeotia,12,genus_resolved,worms_full,Mougeotia sp.
Mystacides,Mystacides,12,gbif_resolved,gbif_full,Mystacides sp.
Nais sp.,Nais,12,unresolved,source_native_fallback,Nais sp.
Parreysia sp.,Parreysia,12,genus_resolved,worms_full,Parreysia sp.
Pediastrum sp.,Pediastrum,12,genus_resolved,worms_full,Pediastrum sp.
Philodina sp,Philodina,12,genus_resolved,worms_full,Philodina sp
Psectrocladius sp.,Psectrocladius,12,genus_resolved,worms_full,Psectrocladius sp.
Tanytarsus sp,Tanytarsus,12,genus_resolved,worms_full,Tanytarsus sp
Thiara sp.,Thiara,12,genus_resolved,worms_full,Thiara sp.
Ankistrodesmus sp,Ankistrodesmus,11,genus_resolved,worms_full,Ankistrodesmus sp
Carassius sp,Carassius,11,genus_resolved,worms_full,Carassius sp
Cybister sp.,Cybister,11,genus_resolved,worms_full,Cybister sp.
Cypria sp.,Cypria,11,genus_resolved,worms_full,Cypria sp.
Dunaliella sp,Dunaliella,11,genus_resolved,worms_full,Dunaliella sp
Helicopsyche,Helicopsyche,11,gbif_resolved,gbif_full,Helicopsyche sp.
Hydropsyche sp,Hydropsyche,11,genus_resolved,worms_full,Hydropsyche sp
Stigeoclonium sp.,Stigeoclonium,11,genus_resolved,worms_full,Stigeoclonium sp.
Ulothrix sp.,Ulothrix,11,genus_resolved,worms_full,Ulothrix sp.
Achnanthidium sp.,Achnanthidium,10,genus_resolved,worms_full,Achnanthidium sp.
Alonella sp.,Alonella,10,genus_resolved,worms_full,Alonella sp.
Amphora sp.,Amphora,10,genus_resolved,worms_full,Amphora sp.
Chlamys sp.,Chlamys,10,genus_resolved,worms_full,Chlamys sp.
Colpidium sp.,Colpidium,10,genus_resolved,worms_full,Colpidium sp.
Crangon,Crangon,10,gbif_resolved,gbif_full,Crangon sp.
Cypris sp.,Cypris,10,genus_resolved,worms_full,Cypris sp.
Ephydra sp.,Ephydra,10,genus_resolved,worms_full,Ephydra sp.
Erpobdella sp.,Erpobdella,10,genus_resolved,worms_full,Erpobdella sp.
Monoraphidium sp.,Monoraphidium,10,genus_resolved,worms_full,Monoraphidium sp.
Mytilina sp.,Mytilina,10,genus_resolved,worms_full,Mytilina sp.
Opercularia sp.,Opercularia,10,genus_resolved,worms_full,Opercularia sp.
Pisidium sp.,Pisidium,10,genus_resolved,worms_full,Pisidium sp.
Poecilia sp,Poecilia,10,genus_resolved,worms_full,Poecilia sp
Poecilia sp.,Poecilia,10,genus_resolved,worms_full,Poecilia sp.
Stichococcus sp.,Stichococcus,10,genus_resolved,worms_full,Stichococcus sp.
Aiptasia sp.,Aiptasia,9,genus_resolved,worms_full,Aiptasia sp.
Caridina sp.,Caridina,9,genus_resolved,worms_full,Caridina sp.
Catenula sp.,Catenula,9,genus_resolved,worms_full,Catenula sp.
Chrissia,Chrissia,9,gbif_resolved,gbif_full,Chrissia halyi
Corixa sp.,Corixa,9,genus_resolved,worms_full,Corixa sp.
Hydrodictyon sp.,Hydrodictyon,9,genus_resolved,worms_full,Hydrodictyon sp.
Keratella sp.,Keratella,9,genus_resolved,worms_full,Keratella sp.
Leuctra,Leuctra,9,gbif_resolved,gbif_full,Leuctra sp.
Libellula sp.,Libellula,9,genus_resolved,worms_full,Libellula sp.
Macrocyclops sp.,Macrocyclops,9,genus_resolved,worms_full,Macrocyclops sp.
Moina sp,Moina,9,genus_resolved,worms_full,Moina sp
Moina sp.,Moina,9,genus_resolved,worms_full,Moina sp.
Nectopsyche,Nectopsyche,9,gbif_resolved,gbif_full,Nectopsyche sp.
Nitzschia sp,Nitzschia,9,genus_resolved,worms_full,Nitzschia sp
Nostoc sp,Nostoc,9,genus_resolved,worms_full,Nostoc sp
Notropis sp.,Notropis,9,genus_resolved,worms_full,Notropis sp.
Oreochromis sp.,Oreochromis,9,genus_resolved,worms_full,Oreochromis sp.
Pavlova sp,Pavlova,9,genus_resolved,worms_full,Pavlova sp
Pleuroxus sp.,Pleuroxus,9,genus_resolved,worms_full,Pleuroxus sp.
Spirulina sp.,Spirulina,9,genus_resolved,worms_full,Spirulina sp.
Tinca sp.,Tinca,9,genus_resolved,worms_full,Tinca sp.
Ankyra sp.,Ankyra,8,genus_resolved,worms_full,Ankyra sp.
Astyanax sp.,Astyanax,8,genus_resolved,worms_full,Astyanax sp.
Atherix,Atherix,8,gbif_resolved,gbif_full,Atherix sp.
Belostoma,Belostoma,8,gbif_resolved,gbif_full,Belostoma indicum
Chara sp.,Chara,8,genus_resolved,worms_full,Chara sp.
Colurella sp.,Colurella,8,genus_resolved,worms_full,Colurella sp.
Cyclidium sp.,Cyclidium,8,genus_resolved,worms_full,Cyclidium sp.
Filopaludina sp.,Filopaludina,8,genus_resolved,worms_full,Filopaludina sp.
Haliotrema sp.,Haliotrema,8,genus_resolved,worms_full,Haliotrema sp.
Helisoma sp.,Helisoma,8,genus_resolved,worms_full,Helisoma sp.
Hydrophilus sp.,Hydrophilus,8,unresolved,source_native_fallback,Hydrophilus sp.
Limnephilus sp,Limnephilus,8,genus_resolved,worms_full,Limnephilus sp
Macropelopia,Macropelopia,8,gbif_resolved,gbif_full,Macropelopia sp.
Metapenaeus sp.,Metapenaeus,8,genus_resolved,worms_full,Metapenaeus sp.
Neocaridina sp,Neocaridina,8,genus_resolved,worms_full,Neocaridina sp
Nepa sp.,Nepa,8,unresolved,source_native_fallback,Nepa sp.
Orconectes sp.,Orconectes,8,genus_resolved,worms_full,Orconectes sp.
Prorocentrum sp.,Prorocentrum,8,genus_resolved,worms_full,Prorocentrum sp.
Pseudokirchneriella sp.,Pseudokirchneriella,8,genus_resolved,worms_full,Pseudokirchneriella sp.
Rhodomonas sp.,Rhodomonas,8,genus_resolved,worms_full,Rhodomonas sp.
Scytonema sp.,Scytonema,8,genus_resolved,worms_full,Scytonema sp.
Sparus sp.,Sparus,8,genus_resolved,worms_full,Sparus sp.
Sphaerocystis sp.,Sphaerocystis,8,genus_resolved,worms_full,Sphaerocystis sp.
Stigeoclonium sp,Stigeoclonium,8,genus_resolved,worms_full,Stigeoclonium sp
Thalassiosira sp.,Thalassiosira,8,genus_resolved,worms_full,Thalassiosira sp.
Ulothrix sp,Ulothrix,8,genus_resolved,worms_full,Ulothrix sp
Wolffia,Wolffia,8,gbif_resolved,gbif_full,Wolffia sp.
Anodonta sp.,Anodonta,7,genus_resolved,worms_full,Anodonta sp.
Aphanocapsa sp.,Aphanocapsa,7,genus_resolved,worms_full,Aphanocapsa sp.
Asplanchna sp.,Asplanchna,7,genus_resolved,worms_full,Asplanchna sp.
Astropecten sp.,Astropecten,7,genus_resolved,worms_full,Astropecten sp.
Brachycentrus sp.,Brachycentrus,7,genus_resolved,worms_full,Brachycentrus sp.
Centroptilum,Centroptilum,7,gbif_resolved,gbif_full,Centroptilum sp.
Chauliodes sp.,Chauliodes,7,unresolved,source_native_fallback,Chauliodes sp.
Corynoneura,Corynoneura,7,gbif_resolved,gbif_full,Corynoneura sp.
Eurythoe sp.,Eurythoe,7,genus_resolved,worms_full,Eurythoe sp.
Lebertia,Lebertia,7,gbif_resolved,gbif_full,Lebertia sp.
Lepomis sp,Lepomis,7,genus_resolved,worms_full,Lepomis sp
Leptophlebia sp.,Leptophlebia,7,genus_resolved,worms_full,Leptophlebia sp.
Lymnaea sp,Lymnaea,7,genus_resolved,worms_full,Lymnaea sp
Neochloris sp.,Neochloris,7,genus_resolved,worms_full,Neochloris sp.
Oocystis sp.,Oocystis,7,genus_resolved,worms_full,Oocystis sp.
Oscillatoria sp,Oscillatoria,7,genus_resolved,worms_full,Oscillatoria sp
Phryganea sp.,Phryganea,7,genus_resolved,worms_full,Phryganea sp.
Pleurocera sp.,Pleurocera,7,genus_resolved,worms_full,Pleurocera sp.
Pteronarcys,Pteronarcys,7,gbif_resolved,gbif_full,Pteronarcys sp.
Ranatra sp.,Ranatra,7,genus_resolved,worms_full,Ranatra sp.
Rhabditis sp.,Rhabditis,7,genus_resolved,worms_full,Rhabditis sp.
Stagnicola sp.,Stagnicola,7,genus_resolved,worms_full,Stagnicola sp.
Tipula sp,Tipula,7,genus_resolved,worms_full,Tipula sp
Vorticella sp.,Vorticella,7,genus_resolved,worms_full,Vorticella sp.
Anax sp.,Anax,6,genus_resolved,worms_full,Anax sp.
Aphanizomenon sp.,Aphanizomenon,6,genus_resolved,worms_full,Aphanizomenon sp.
Asellus sp,Asellus,6,genus_resolved,worms_full,Asellus sp
Baetis sp,Baetis,6,genus_resolved,worms_full,Baetis sp
Bithynia sp.,Bithynia,6,genus_resolved,worms_full,Bithynia sp.
Boleophthalmus sp.,Boleophthalmus,6,genus_resolved,worms_full,Boleophthalmus sp.
Brachionus sp.,Brachionus,6,genus_resolved,worms_full,Brachionus sp.
Cercaria sp.,Cercaria,6,genus_resolved,worms_full,Cercaria sp.
Cheumatopsyche sp,Cheumatopsyche,6,genus_resolved,worms_full,Cheumatopsyche sp
Cobitidae,NA,6,exact_filtered,worms_full,Cobitidae
Culex sp,Culex,6,genus_resolved,worms_full,Culex sp
Cyprinus sp,Cyprinus,6,genus_resolved,worms_full,Cyprinus sp
Dero sp.,Dero,6,genus_resolved,worms_full,Dero sp.
Ephemerella sp,NA,6,unresolved,source_native_fallback,Ephemerella sp
Euglena sp.,Euglena,6,genus_resolved,worms_full,Euglena sp.
Fluminicola sp.,Fluminicola,6,genus_resolved,worms_full,Fluminicola sp.
Gonium sp.,Gonium,6,genus_resolved,worms_full,Gonium sp.
Hormidium sp.,Hormidium,6,genus_resolved,worms_full,Hormidium sp.
Isoperla sp.,Isoperla,6,genus_resolved,worms_full,Isoperla sp.
Leptolyngbya sp,Leptolyngbya,6,genus_resolved,worms_full,Leptolyngbya sp
Ligumia sp.,Ligumia,6,genus_resolved,worms_full,Ligumia sp.
Micrasema,Micrasema,6,gbif_resolved,gbif_full,Micrasema sp.
Mugil sp,Mugil,6,genus_resolved,worms_full,Mugil sp
Mugil sp.,Mugil,6,genus_resolved,worms_full,Mugil sp.
Nanosesarma sp.,Nanosesarma,6,genus_resolved,worms_full,Nanosesarma sp.
Ostrea sp.,Ostrea,6,genus_resolved,worms_full,Ostrea sp.
Pinnularia sp.,Pinnularia,6,genus_resolved,worms_full,Pinnularia sp.
Planktothrix sp.,Planktothrix,6,genus_resolved,worms_full,Planktothrix sp.
Poecilobdella,Poecilobdella,6,gbif_resolved,gbif_full,Poecilobdella viridis
Poterioochromonas sp.,Poterioochromonas,6,genus_resolved,worms_full,Poterioochromonas sp.
Rhamdia sp.,Rhamdia,6,genus_resolved,worms_full,Rhamdia sp.
Staurastrum sp,Staurastrum,6,genus_resolved,worms_full,Staurastrum sp
Sweltsa,Sweltsa,6,gbif_resolved,gbif_full,Sweltsa sp.
Synechocystis sp,Synechocystis,6,genus_resolved,worms_full,Synechocystis sp
