raw_effect,normalised_effect_lower,effect_category_mapped,n_rows,mapping_rule
"Reproduction, Reproductive success (general)",reproduction reproductive success general,REP,3,reproduc|fertil|offspring|fecund|brood|egg|spawn
"Development, Growth rate",development growth rate,GRO,2,growth|biomass|yield|length|weight|area
Lifespan,lifespan,OTHER,2,human_review
"Reproduction, Biomass",reproduction biomass,GRO,2,growth|biomass|yield|length|weight|area
"Reproduction, Net Reproductive Rate",reproduction net reproductive rate,REP,2,reproduc|fertil|offspring|fecund|brood|egg|spawn
area under growth curve,area under growth curve,GRO,2,growth|biomass|yield|length|weight|area
cell density,cell density,POP,2,populat|abundance|densit
combined embryo-larval mortality and teratogenesis,combined embryo larval mortality and teratogenesis,MORT,2,mortal|surviv|lethali|death|lethal
growth and reproduction,growth and reproduction,GRO,2,growth|biomass|yield|length|weight|area
"mortality, reproduction rate, appearance of first offspring",mortality reproduction rate appearance of first offspring,MORT,2,mortal|surviv|lethali|death|lethal
reproduction and mortality,reproduction and mortality,MORT,2,mortal|surviv|lethali|death|lethal
"reproduction rate, parental mortality, appearance of first offspring",reproduction rate parental mortality appearance of first offspring,MORT,2,mortal|surviv|lethali|death|lethal
survival of young fish,survival of young fish,MORT,2,mortal|surviv|lethali|death|lethal
yield,yield,GRO,2,growth|biomass|yield|length|weight|area
"Development, Teratogenic measurements",development teratogenic measurements,DVP,1,develop|metamorph|differentiat
Growth inhibition,growth inhibition,GRO,1,growth|biomass|yield|length|weight|area
Growth rate and Biomass,growth rate and biomass,GRO,1,growth|biomass|yield|length|weight|area
Growth reduction,growth reduction,GRO,1,growth|biomass|yield|length|weight|area
Higher condition factor (weight divided by length) in fish at the 100 and 200 æg/L level,higher condition factor weight divided by length in fish at the 100 and 200 g l level,GRO,1,growth|biomass|yield|length|weight|area
"Intoxication, Intoxication, general",intoxication intoxication general,OTHER,1,human_review
Lifetime reproduction,lifetime reproduction,REP,1,reproduc|fertil|offspring|fecund|brood|egg|spawn
Loss of equilibrium,loss of equilibrium,BEH,1,human_review
Nitrogen Fixation: Change in ability of aquatic plants to fix nitrogen.,nitrogen fixation change in ability of aquatic plants to fix nitrogen,PSE,1,human_review
"Population, Chlorophyll A concentration",population chlorophyll a concentration,PSE,1,photosyn|chlorophyll|pigment|physiol
