accepted_name,n_raw_names_in_group,raw_name,sources,n_rows,status,rank_resolved
Oncorhynchus clarkii,3,Salmo clarkii,envirotox,9,exact_unaccepted_filtered,Species
Oreochromis mossambicus,3,Oreochromis mossambicus,"anztox,envirotox,wqbench",2196,exact_filtered,Species
Oreochromis mossambicus,3,Tilapia mossambica,"anztox,envirotox",200,exact_unaccepted_filtered,Species
Oreochromis mossambicus,3,Sarotherodon mossambicus,anztox,2,exact_unaccepted_filtered,Species
Palaemon adspersus,3,Palaemon adspersus,wqbench,21,exact_filtered,Species
Palaemon adspersus,3,Palaemon squilla,wqbench,15,exact_unaccepted_filtered,Species
Palaemon adspersus,3,Leander squilla,wqbench,2,exact_unaccepted_filtered,Species
Paratanytarsus parthenogeneticus,3,Paratanytarsus parthenogeneticus,wqbench,99,gbif_resolved,SPECIES
Paratanytarsus parthenogeneticus,3,Paratanytarsus parthenogeneti,envirotox,14,gbif_resolved,SPECIES
Paratanytarsus parthenogeneticus,3,Paratanytarsus parthenogenetic,anztox,5,gbif_resolved,SPECIES
Physella gyrina,3,Physa gyrina,"anztox,envirotox,wqbench",67,exact_unaccepted_filtered,Species
Physella gyrina,3,Physella elliptica,wqbench,2,exact_unaccepted_filtered,Species
Physella gyrina,3,Physella gyrina,wqbench,1,exact_filtered,Species
Procambarus simulans,3,Procambarus simulans ssp. simulans,wqbench,16,gbif_resolved,SPECIES
Procambarus simulans,3,Procambarus simulans,"envirotox,wqbench",13,exact_filtered,Species
Procambarus simulans,3,Procambarus simulans simulans,anztox,3,gbif_resolved,SPECIES
Pseudokirchneriella subcapitata,3,Pseuudokirchneriella subcapitata,anztox,2,gbif_resolved,SPECIES
Pseudokirchneriella subcapitata,3,Pseudokircheriella subcapitata,anztox,1,gbif_resolved,SPECIES
Pseudokirchneriella subcapitata,3,Pseudokirchneriella supcapitata,anztox,1,gbif_resolved,SPECIES
Raphidocelis subcapitata,3,Raphidocelis subcapitata,"anztox,envirotox,wqbench",8043,exact_filtered,Species
Raphidocelis subcapitata,3,Pseudokirchneriella subcapitata,anztox,33,exact_unaccepted_filtered,Species
Raphidocelis subcapitata,3,Pseudokirchneriella subcapita,anztox,2,fuzzy_filtered,Species
Ruditapes philippinarum,3,Ruditapes philippinarum,wqbench,503,exact_filtered,Species
Ruditapes philippinarum,3,Tapes philippinarum,wqbench,271,exact_unaccepted_filtered,Species
Ruditapes philippinarum,3,Tapes semidecussata,anztox,1,exact_unaccepted_filtered,Species
Sander vitreus,3,Sander vitreus,"envirotox,wqbench",289,exact_filtered,Species
Sander vitreus,3,Stizostedion vitreum,"anztox,envirotox",36,exact_unaccepted_filtered,Species
Sander vitreus,3,Stizostedion vitreum vitreum,anztox,4,exact_unaccepted_filtered,Subspecies
Trypaea australiensis,3,Trypaea australiensis,wqbench,12,exact_filtered,Species
Trypaea australiensis,3,Callianassa australiensis,anztox,10,exact_unaccepted_filtered,Species
Trypaea australiensis,3,Trypaea (Callianassa) australien,anztox,1,gbif_resolved,SPECIES
Villorita cyprinoides,3,Villorita cyprinoides ssp. cochiensis,wqbench,16,gbif_resolved,SPECIES
Villorita cyprinoides,3,Villorita cyprinoides,wqbench,3,exact_filtered,Species
Villorita cyprinoides,3,Villorita cyprinoides cochi,anztox,1,gbif_resolved,SPECIES
Acanthocyclops vernalis vernalis,2,Cyclops vernalis,wqbench,14,exact_unaccepted_filtered,Species
Acanthocyclops vernalis vernalis,2,Acanthocyclops vernalis,wqbench,4,exact_unaccepted_filtered,Species
Acantholeberis curvirostris,2,Daphnia curvirostris,"envirotox,wqbench",8,exact_unaccepted_filtered,Species
Acantholeberis curvirostris,2,Acantholeberis curvirostris,"envirotox,wqbench",4,exact_filtered,Species
Acartia (Odontacartia) lilljeborgii,2,Acartia lillgeborgi,wqbench,9,fuzzy_filtered,Species
Acartia (Odontacartia) lilljeborgii,2,Acartia lilljeborgi,envirotox,2,fuzzy_filtered,Species
Acroneuria,2,Acroneuria sp.,wqbench,7,gbif_resolved,GENUS
Acroneuria,2,Acroneuria sp,envirotox,5,gbif_resolved,GENUS
Aedes cyprius,2,Aedes cyprius,"envirotox,wqbench",3,gbif_resolved,SPECIES
Aedes cyprius,2,Aedes caprius,anztox,1,gbif_resolved,SPECIES
Alitta succinea,2,Alitta succinea,wqbench,15,exact_filtered,Species
Alitta succinea,2,Neanthes succinea,envirotox,1,exact_unaccepted_filtered,Species
Allocapnia,2,Allocapnia sp,"anztox,envirotox",3,gbif_resolved,GENUS
Allocapnia,2,Allocapnia sp.,wqbench,2,gbif_resolved,GENUS
Ameiurus melas,2,Ameiurus melas,"anztox,envirotox,wqbench",300,exact_filtered,Species
Ameiurus melas,2,Ictalurus melas,"anztox,envirotox",68,exact_unaccepted_filtered,Species
Ameiurus natalis,2,Ameiurus natalis,"envirotox,wqbench",11,exact_filtered,Species
Ameiurus natalis,2,Ictalurus natalis,"anztox,envirotox",4,exact_unaccepted_filtered,Species
Ameiurus nebulosus,2,Ameiurus nebulosus,"envirotox,wqbench",46,exact_filtered,Species
Ameiurus nebulosus,2,Ictalurus nebulosus,envirotox,8,exact_unaccepted_filtered,Species
Americamysis bahia,2,Americamysis bahia,"anztox,envirotox,wqbench",2884,exact_filtered,Species
Americamysis bahia,2,Mysidopsis bahia,anztox,152,exact_unaccepted_filtered,Species
Amphibalanus amphitrite,2,Balanus amphitrite,"anztox,envirotox,wqbench",102,exact_unaccepted_filtered,Species
Amphibalanus amphitrite,2,Amphibalanus amphitrite,wqbench,15,exact_filtered,Species
Ampullaceana balthica,2,Radix balthica,wqbench,8,exact_unaccepted_filtered,Species
Ampullaceana balthica,2,Radix ovata,"anztox,wqbench",5,exact_unaccepted_filtered,Species
Anabas testudineus,2,Anabas testudineus,"envirotox,wqbench",248,exact_filtered,Species
Anabas testudineus,2,Anabas scandens,"envirotox,wqbench",172,exact_unaccepted_filtered,Species
Anaxyrus americanus,2,Bufo americanus,"anztox,envirotox,wqbench",140,exact_unaccepted_filtered,Species
Anaxyrus americanus,2,Anaxyrus americanus,wqbench,26,exact_filtered,Species
Anisus vortex,2,Anisus vortex,"envirotox,wqbench",2,exact_filtered,Species
Anisus vortex,2,Planorbis vortex,anztox,1,exact_unaccepted_filtered,Species
Anodonta anatina,2,Anodonta anatina,wqbench,224,exact_filtered,Species
Anodonta anatina,2,Anodonta piscinalis,"envirotox,wqbench",2,exact_unaccepted_filtered,Species
Anopheles maculipennis,2,Anopheles maculipennis,"envirotox,wqbench",2,gbif_resolved,SPECIES
Anopheles maculipennis,2,Anopheles maculipennis messeae,anztox,1,gbif_resolved,SPECIES
Arrenurus globator,2,Arrenurus globator,"envirotox,wqbench",2,gbif_resolved,SPECIES
Arrenurus globator,2,Arrhenurus globator,anztox,1,gbif_resolved,SPECIES
Artemia franciscana,2,Artemia franciscana,"envirotox,wqbench",329,exact_filtered,Species
Artemia franciscana,2,Artemia franchiscana,anztox,2,gbif_resolved,SPECIES
Asterias forbesi,2,Asterias forbesii,"envirotox,wqbench",12,gbif_resolved,SPECIES
Asterias forbesi,2,Asterias forbesi,anztox,5,exact_filtered,Species
Australoheros facetus,2,Australoheros facetus,wqbench,69,exact_filtered,Species
Australoheros facetus,2,Cichlasoma facetum,envirotox,4,exact_unaccepted_filtered,Species
Biomphalaria glabrata,2,Biomphalaria glabrata,"envirotox,wqbench",367,exact_filtered,Species
Biomphalaria glabrata,2,Australorbis glabratus,anztox,2,exact_unaccepted_filtered,Species
Boleophthalmus dussumieri,2,Boleophthalmus dussumieri,wqbench,14,exact_filtered,Species
Boleophthalmus dussumieri,2,Boleophthalmus dentatus,envirotox,1,exact_unaccepted_filtered,Species
Brachythemis contaminata,2,Brachythemis contaminata,wqbench,13,gbif_resolved,SPECIES
Brachythemis contaminata,2,Brachythermis contaminata,envirotox,1,gbif_resolved,SPECIES
Branchiura sowerbyi,2,Branchiura sowerbyi,"anztox,envirotox,wqbench",120,exact_filtered,Species
Branchiura sowerbyi,2,Branchiura sowerbi,anztox,6,gbif_resolved,SPECIES
Bryconamericus iheringii,2,Bryconamericus iheringii,"envirotox,wqbench",13,exact_filtered,Species
Bryconamericus iheringii,2,Bryconamericus boops,envirotox,1,exact_unaccepted_filtered,Species
Bufo bufo japonicus,2,Bufo bufo ssp. japonicus,wqbench,376,gbif_resolved,SUBSPECIES
Bufo bufo japonicus,2,Bufo bufo japonicus,anztox,4,gbif_resolved,SUBSPECIES
Bufo woodhousii fowleri,2,Bufo woodhousei ssp. fowleri,wqbench,99,gbif_resolved,SUBSPECIES
Bufo woodhousii fowleri,2,Bufo woodhousei fowleri,anztox,17,gbif_resolved,SUBSPECIES
