casnumber_grouped,accepted_name,medium,min_tier_rank,max_tier_rank,n_distinct_tiers
58899,Desmodesmus subspicatus,Freshwater,1,3,3
58899,Gammarus pulex,Unknown,1,3,2
58899,Heteropneustes fossilis,Freshwater,2,3,2
58899,Mercenaria mercenaria,Marine,2,3,2
58899,Mytilus galloprovincialis,Marine,2,3,2
58899,Oncorhynchus mykiss,Unknown,1,3,3
58899,Pimephales promelas,Freshwater,1,3,3
58899,Pimephales promelas,Unknown,1,3,2
58902,Daphnia galeata,Unknown,1,3,2
58902,Daphnia galeata mendotae,Freshwater,1,3,3
58902,Daphnia magna,Unknown,1,3,2
58902,Keratella cochlearis,Freshwater,1,3,3
58902,Keratella cochlearis,Unknown,1,3,2
58902,Palaemon pugio,Marine,2,3,2
59507,Daphnia magna,Freshwater,1,3,2
59507,Daphnia magna,Unknown,1,3,2
59870,Mercenaria mercenaria,Marine,2,3,2
60004,Daphnia magna,Unknown,1,3,2
60515,Cirrhinus mrigala,Freshwater,1,3,3
60515,Daphnia magna,Unknown,1,3,2
60515,Oncorhynchus mykiss,Freshwater,1,3,3
60515,Oreochromis niloticus,Freshwater,1,3,3
60515,Oreochromis niloticus,Unknown,1,3,2
60515,Paratya australiensis,Freshwater,1,3,3
60515,Pethia ticto,Freshwater,1,3,3
60515,Raphidocelis subcapitata,Unknown,1,3,2
60548,Daphnia magna,Freshwater,1,3,3
60548,Microcystis aeruginosa,Unknown,1,3,2
60548,Raphidocelis subcapitata,Unknown,1,3,2
60548,Sepiella japonica,Marine,1,3,2
60548,Stentor coeruleus,Unknown,2,3,2
60548,Stylonychia lemnae,Unknown,2,3,2
60571,Americamysis bahia,Marine,1,3,2
60571,Artemia salina,Marine,1,3,3
60571,Crassostrea virginica,Marine,2,3,2
60571,Marinogammarus marinus,Marine,2,3,2
60571,Mytilus edulis,Marine,2,3,2
60571,Poecilia reticulata,Freshwater,2,3,2
61734,Pimephales promelas,Unknown,1,3,2
61825,Crassostrea virginica,Marine,2,3,2
61825,Raphidocelis subcapitata,Freshwater,1,3,3
61825,Raphidocelis subcapitata,Unknown,1,3,2
62533,Danio rerio,Unknown,1,3,2
62533,Daphnia magna,Freshwater,1,3,3
62533,Daphnia magna,Unknown,1,3,2
62533,Desmodesmus subspicatus,Freshwater,1,3,3
62533,Oncorhynchus mykiss,Unknown,1,3,2
62533,Pimephales promelas,Freshwater,1,3,3
62533,Raphidocelis subcapitata,Unknown,1,3,2
62533,Tetrahymena pyriformis,Freshwater,2,3,2
62533,Xenopus laevis,Freshwater,2,3,2
62566,Daphnia magna,Unknown,1,3,2
62737,Daphnia magna,Freshwater,2,3,2
62737,Homarus gammarus,Marine,2,3,2
62737,Labeo catla,Freshwater,2,3,2
62737,Mystus vittatus,Freshwater,1,3,3
62737,Oncorhynchus mykiss,Freshwater,2,3,2
62737,Oreochromis mossambicus,Freshwater,1,3,2
62737,Pimephales promelas,Unknown,1,3,2
63252,Bosmina fatalis,Freshwater,1,3,3
63252,Bosmina longirostris,Freshwater,1,3,3
63252,Bosmina longirostris,Unknown,1,3,2
63252,Brachionus calyciflorus,Unknown,1,3,2
63252,Channa punctata,Freshwater,1,3,3
63252,Clarias batrachus,Freshwater,1,3,3
63252,Clarias batrachus,Unknown,1,3,2
63252,Crassostrea virginica,Marine,2,3,2
63252,Crassostrea virginica,Unknown,1,3,2
63252,Daphnia magna,Freshwater,1,3,3
63252,Daphnia magna,Unknown,1,3,2
63252,Daphnia pulex,Freshwater,1,3,3
63252,Daphnia pulex,Unknown,1,3,2
63252,Fundulus grandis,Marine,1,3,2
63252,Heteropneustes fossilis,Freshwater,1,3,3
63252,Hyalella azteca,Freshwater,1,3,2
63252,Labeo catla,Freshwater,2,3,2
63252,Mercenaria mercenaria,Marine,2,3,2
63252,Metacarcinus magister,Marine,2,3,2
63252,Mystus vittatus,Freshwater,1,3,3
63252,Notonecta undulata,Freshwater,2,3,2
63252,Paratya australiensis,Freshwater,1,3,3
63252,Physella acuta,Freshwater,1,3,3
63252,Procambarus clarkii,Freshwater,1,3,3
63252,Xanthocnemis zealandica,Freshwater,1,3,3
63252,Xenopus laevis,Freshwater,1,3,3
64175,Danio rerio,Freshwater,1,3,2
64175,Daphnia magna,Freshwater,1,3,3
64197,Daphnia magna,Freshwater,2,3,2
64197,Daphnia magna,Unknown,1,3,2
64197,Oreochromis mossambicus,Freshwater,1,3,3
64197,Oreochromis mossambicus,Unknown,1,3,2
67436,Daphnia (Ctenodaphnia) carinata,Freshwater,1,3,3
67436,Daphnia (Ctenodaphnia) carinata,Unknown,1,3,2
67561,Mytilus edulis,Marine,1,3,2
67561,Oreochromis mossambicus,Freshwater,1,3,3
67561,Oreochromis mossambicus,Unknown,1,3,2
67561,Pimephales promelas,Freshwater,1,3,2
67561,Planorbella trivolvis,Freshwater,1,3,2
67641,Daphnia magna,Freshwater,1,3,3
67641,Daphnia magna,Unknown,1,3,2
67641,Mercenaria mercenaria,Marine,2,3,2
67641,Oncorhynchus mykiss,Freshwater,1,3,2
67663,Daphnia magna,Freshwater,1,3,3
67663,Daphnia magna,Unknown,1,3,2
67663,Desmodesmus subspicatus,Freshwater,1,3,3
67663,Oryzias latipes,Freshwater,1,3,3
67685,Daphnia magna,Freshwater,1,3,2
67685,Daphnia magna,Unknown,1,3,2
68122,Daphnia magna,Freshwater,1,3,3
68122,Daphnia magna,Unknown,1,3,2
68122,Pimephales promelas,Freshwater,1,3,2
68359,Daphnia magna,Freshwater,1,3,3
69727,Daphnia magna,Freshwater,1,3,3
69727,Daphnia magna,Unknown,1,3,2
71363,Daphnia magna,Unknown,1,3,2
71432,Daphnia magna,Freshwater,1,3,2
71432,Pimephales promelas,Freshwater,1,3,3
71432,Raphidocelis subcapitata,Unknown,2,3,2
71432,Skeletonema costatum,Marine,1,3,2
71556,Daphnia magna,Freshwater,1,3,3
71556,Daphnia magna,Unknown,1,3,2
72208,Ameiurus melas,Freshwater,2,3,2
72208,Brachycentrus americanus,Freshwater,2,3,2
72208,Crassostrea virginica,Marine,1,3,3
72208,Gasterosteus aculeatus,Marine,1,3,2
72208,Heteropneustes fossilis,Freshwater,1,3,3
72208,Mytilus edulis,Marine,2,3,2
72208,Palaemon pugio,Marine,1,3,2
72435,Conasellus communis,Freshwater,2,3,2
72435,Daphnia magna,Unknown,1,3,2
72435,Metacarcinus magister,Marine,1,3,3
72435,Penaeus (Farfantepenaeus) duorarum,Marine,2,3,2
72559,Acartia (Acanthacartia) tonsa,Marine,1,3,3
74839,Poecilia reticulata,Unknown,1,3,2
75058,Daphnia magna,Freshwater,1,3,3
75081,Daphnia magna,Unknown,1,3,2
75092,Pimephales promelas,Freshwater,2,3,2
75092,Pimephales promelas,Unknown,1,3,2
75183,Daphnia magna,Unknown,1,3,2
75354,Chlamydomonas reinhardtii,Unknown,1,3,3
75990,Dunaliella tertiolecta,Marine,2,3,2
75990,Isochrysis galbana,Marine,2,3,2
75990,Phaeodactylum tricornutum,Marine,2,3,2
76017,Americamysis bahia,Marine,1,3,3
76039,Daphnia magna,Freshwater,1,3,3
76039,Daphnia magna,Unknown,1,3,2
76039,Desmodesmus subspicatus,Unknown,1,3,2
