scientificname,sources,n_rows,status,source_kingdom,source_phylum,resolved_kingdom,resolved_phylum,taxonomy_source
Lemna gibba,"anztox,wqbench",2356,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Lemna minor,"anztox,wqbench",2098,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Microcystis aeruginosa,"anztox,envirotox,wqbench",1879,exact_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Skeletonema costatum,"anztox,envirotox,wqbench",1516,exact_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Tetrahymena pyriformis,"anztox,envirotox,wqbench",1191,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Myriophyllum spicatum,"anztox,wqbench",1072,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Myriophyllum sibiricum,wqbench,1063,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Tetrahymena thermophila,"envirotox,wqbench",769,gbif_resolved,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Ceratophyllum demersum,"anztox,wqbench",697,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Anabaena flosaquae,"anztox,wqbench",607,fuzzy_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Hydrilla verticillata,wqbench,591,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Fistulifera pelliculosa,wqbench,545,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Phaeodactylum tricornutum,"anztox,envirotox,wqbench",523,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Isochrysis galbana,"anztox,envirotox,wqbench",462,exact_filtered,Chromista,Haptophyta,Chromista,Haptophyta,wqbench
Thalassiosira pseudonana,"anztox,envirotox,wqbench",424,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Anabaena flos-aquae,"anztox,envirotox",330,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,envirotox
Myriophyllum aquaticum,"anztox,wqbench",327,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Vallisneria natans,wqbench,318,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Macrocystis pyrifera,"anztox,envirotox,wqbench",315,exact_filtered,Chromista,Phaeophyta,Chromista,Ochrophyta,wqbench
Nostoc muscorum,"envirotox,wqbench",308,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Elodea canadensis,"anztox,wqbench",255,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Egeria densa,wqbench,249,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Euglena gracilis,"envirotox,wqbench",235,exact_filtered,Plantae,Euglenophycota,Protozoa,Euglenozoa,wqbench
Eichhornia crassipes,wqbench,232,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Gymnodinium splendens,"anztox,wqbench",205,exact_unaccepted_filtered,Chromista,Pyrrophycophyta,Chromista,Myzozoa,wqbench
Gomphonema gracile,"anztox,wqbench",195,exact_unaccepted_filtered,Chromista,Bacillariophyta,Chromista,Heterokontophyta,wqbench
Spirostomum ambiguum,"envirotox,wqbench",193,exact_filtered,Animalia,Ciliophora,Chromista,Ciliophora,wqbench
Vallisneria americana,"anztox,wqbench",187,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Lemna aequinoctialis,"anztox,wqbench",185,gbif_resolved,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
Anabaena variabilis,"anztox,envirotox,wqbench",182,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Chrysosporum ovalisporum,wqbench,176,exact_unaccepted_filtered,Monera,Cyanophycota,Bacteria,Cyanobacteria,wqbench
Potamogeton crispus,"anztox,wqbench",170,exact_filtered,Plantae,Magnoliophyta,Plantae,Tracheophyta,wqbench
