original_scientificname,bucket,accepted_name,genus,resolution_status,taxonomy_provenance,sources,n_rows
Planorbarius sp.,raw_genus_level,Planorbarius sp.,Planorbarius,genus_resolved,worms_full,wqbench,3
Potamogeton sp.,raw_genus_level,Potamogeton sp.,Potamogeton,genus_resolved,worms_full,wqbench,3
Pseudagrion sp.,raw_genus_level,Pseudagrion,Pseudagrion,gbif_resolved,gbif_full,wqbench,3
Psychoglypha sp.,raw_genus_level,Psychoglypha sp.,Psychoglypha,genus_resolved,worms_full,wqbench,3
Rotylenchus sp.,raw_genus_level,Rotylenchus sp.,Rotylenchus,genus_resolved,worms_full,wqbench,3
Sagitta sp.,raw_genus_level,Sagitta sp.,Sagitta,genus_resolved,worms_full,wqbench,3
Schizoporella sp.,raw_genus_level,Schizoporella sp.,Schizoporella,genus_resolved,worms_full,wqbench,3
Scutellidium sp,raw_genus_level,Scutellidium sp,Scutellidium,genus_resolved,worms_full,envirotox,3
Scutellidium sp.,raw_genus_level,Scutellidium sp.,Scutellidium,genus_resolved,worms_full,wqbench,3
Spumella sp.,raw_genus_level,Spumella sp.,Spumella,genus_resolved,worms_full,wqbench,3
Texadina sp.,raw_genus_level,Texadina sp.,Texadina,genus_resolved,worms_full,wqbench,3
Themiste sp,raw_genus_level,Themiste sp,Themiste,genus_resolved,worms_full,anztox,3
Themiste sp.,raw_genus_level,Themiste sp.,Themiste,genus_resolved,worms_full,wqbench,3
Tolypothrix sp.,raw_genus_level,Tolypothrix sp.,Tolypothrix,genus_resolved,worms_full,wqbench,3
Vallisneria sp.,raw_genus_level,Vallisneria sp.,Vallisneria,genus_resolved,worms_full,wqbench,3
Westiellopsis sp.,raw_genus_level,Westiellopsis sp.,Westiellopsis,genus_resolved,worms_full,wqbench,3
Zelandobius sp.,raw_genus_level,Zelandobius,Zelandobius,gbif_resolved,gbif_full,wqbench,3
Zelandoperla sp.,raw_genus_level,Zelandoperla,Zelandoperla,gbif_resolved,gbif_full,wqbench,3
Zygnema sp.,raw_genus_level,Zygnema sp.,Zygnema,genus_resolved,worms_full,wqbench,3
Acartia sp,raw_genus_level,Acartia sp,Acartia,genus_resolved,worms_full,envirotox,2
Achnanthidium sp,raw_genus_level,Achnanthidium sp,Achnanthidium,genus_resolved,worms_full,envirotox,2
Acilius sp.,raw_genus_level,Acilius sp.,Acilius,genus_resolved,worms_full,wqbench,2
Acrobeles sp.,raw_genus_level,Acrobeles sp.,Acrobeles,genus_resolved,worms_full,wqbench,2
Acrobeloides sp.,raw_genus_level,Acrobeloides sp.,Acrobeloides,genus_resolved,worms_full,wqbench,2
Acroperus sp.,raw_genus_level,Acroperus sp.,Acroperus,genus_resolved,worms_full,wqbench,2
Allocapnia sp.,raw_genus_level,Allocapnia,Allocapnia,gbif_resolved,gbif_full,wqbench,2
Ambystoma sp,raw_genus_level,Ambystoma sp,Ambystoma,genus_resolved,worms_full,envirotox,2
Ameletus sp.,raw_genus_level,Ameletus sp.,Ameletus,genus_resolved,worms_full,wqbench,2
Aphanicerca sp.,raw_genus_level,Aphanicerca,Aphanicerca,gbif_resolved,gbif_full,wqbench,2
Arthrospira sp.,raw_genus_level,Arthrospira sp.,Arthrospira,genus_resolved,worms_full,wqbench,2
Aulosira sp.,raw_genus_level,Aulosira sp.,Aulosira,genus_resolved,worms_full,wqbench,2
Austrophlebia sp.,raw_genus_level,Austrophlebia,Austrophlebia,gbif_resolved,gbif_full,wqbench,2
Bacillariophyceae,raw_genus_level,Bacillariophyceae,NA,exact_filtered,worms_full,anztox,2
Belostoma sp,raw_genus_level,Belostoma,Belostoma,gbif_resolved,gbif_full,envirotox,2
Berosus sp,raw_genus_level,Berosus sp,Berosus,genus_resolved,worms_full,"anztox, envirotox",2
Bosmina sp,raw_genus_level,Bosmina sp,Bosmina,genus_resolved,worms_full,anztox,2
Callinectes sp.,raw_genus_level,Callinectes sp.,Callinectes,genus_resolved,worms_full,wqbench,2
Cambarus sp.,raw_genus_level,Cambarus sp.,Cambarus,genus_resolved,worms_full,wqbench,2
Capnia sp.,raw_genus_level,Capnia sp.,Capnia,unresolved,source_native_fallback,wqbench,2
Castanophlebia sp.,raw_genus_level,Castanophlebia,Castanophlebia,gbif_resolved,gbif_full,wqbench,2
Celleporaria sp.,raw_genus_level,Celleporaria sp.,Celleporaria,genus_resolved,worms_full,wqbench,2
Chaetophora sp.,raw_genus_level,Chaetophora sp.,Chaetophora,genus_resolved,worms_full,wqbench,2
Chamaesiphon sp.,raw_genus_level,Chamaesiphon sp.,Chamaesiphon,genus_resolved,worms_full,wqbench,2
Chilomonas sp.,raw_genus_level,Chilomonas sp.,Chilomonas,genus_resolved,worms_full,wqbench,2
Chlorogonium sp,raw_genus_level,Chlorogonium sp,Chlorogonium,genus_resolved,worms_full,envirotox,2
Chlorogonium sp.,raw_genus_level,Chlorogonium sp.,Chlorogonium,genus_resolved,worms_full,wqbench,2
Cladophora sp.,raw_genus_level,Cladophora sp.,Cladophora,genus_resolved,worms_full,wqbench,2
Cloeon sp,raw_genus_level,Cloeon sp,Cloeon,genus_resolved,worms_full,envirotox,2
Closterium sp.,raw_genus_level,Closterium sp.,Closterium,genus_resolved,worms_full,wqbench,2
Cochliopodium sp.,raw_genus_level,Cochliopodium sp.,Cochliopodium,genus_resolved,worms_full,wqbench,2
Coleochaete sp.,raw_genus_level,Coleochaete sp.,Coleochaete,genus_resolved,worms_full,wqbench,2
Conochilus sp.,raw_genus_level,Conochilus sp.,Conochilus,genus_resolved,worms_full,wqbench,2
Copelatus sp.,raw_genus_level,Copelatus,Copelatus,gbif_resolved,gbif_full,wqbench,2
Corydalus sp.,raw_genus_level,Corydalus,Corydalus,gbif_resolved,gbif_full,wqbench,2
Crangon sp,raw_genus_level,Crangon sp,NA,ambiguous_after_filter,ambiguous_partial,anztox,2
Danio sp.,raw_genus_level,Danio sp.,Danio,genus_resolved,worms_full,wqbench,2
Demoreptus sp.,raw_genus_level,Demoreptus,Demoreptus,gbif_resolved,gbif_full,wqbench,2
Dero sp,raw_genus_level,Dero sp,Dero,genus_resolved,worms_full,envirotox,2
Dicranota sp.,raw_genus_level,Dicranota,Dicranota,gbif_resolved,gbif_full,wqbench,2
Dinobryon sp.,raw_genus_level,Dinobryon sp.,Dinobryon,genus_resolved,worms_full,wqbench,2
Dinophyceae,raw_genus_level,Dinophyceae,NA,exact_filtered,worms_full,anztox,2
Ecnomus sp.,raw_genus_level,Ecnomus,Ecnomus,gbif_resolved,gbif_full,wqbench,2
Enteromorpha sp,raw_genus_level,Enteromorpha sp,Enteromorpha,genus_resolved,worms_full,"anztox, envirotox",2
Eristalis sp,raw_genus_level,Eristalis sp,Eristalis,genus_resolved,worms_full,anztox,2
Eucypris sp.,raw_genus_level,Eucypris sp.,Eucypris,genus_resolved,worms_full,wqbench,2
Eudiaptomus sp.,raw_genus_level,Eudiaptomus sp.,Eudiaptomus,genus_resolved,worms_full,wqbench,2
Eudorina sp,raw_genus_level,Eudorina sp,Eudorina,genus_resolved,worms_full,envirotox,2
Eudorina sp.,raw_genus_level,Eudorina sp.,Eudorina,genus_resolved,worms_full,wqbench,2
Eusimulium sp,raw_genus_level,Eusimulium,Eusimulium,gbif_resolved,gbif_full,"anztox, envirotox",2
Eutreptiella sp.,raw_genus_level,Eutreptiella sp.,Eutreptiella,genus_resolved,worms_full,wqbench,2
Fundulus sp.,raw_genus_level,Fundulus sp.,Fundulus,genus_resolved,worms_full,"anztox, wqbench",2
Gonium sp,raw_genus_level,Gonium sp,Gonium,genus_resolved,worms_full,envirotox,2
Heterocypris sp.,raw_genus_level,Heterocypris sp.,Heterocypris,genus_resolved,worms_full,wqbench,2
Heteropanope sp.,raw_genus_level,Heteropanope sp.,Heteropanope,genus_resolved,worms_full,wqbench,2
Hygrotus sp,raw_genus_level,Hygrotus sp,Hygrotus,genus_resolved,worms_full,envirotox,2
Isogenoides sp.,raw_genus_level,Isogenoides,Isogenoides,gbif_resolved,gbif_full,wqbench,2
Kurzia sp.,raw_genus_level,Kurzia sp.,Kurzia,genus_resolved,worms_full,wqbench,2
Laccophilus sp.,raw_genus_level,Laccophilus sp.,Laccophilus,genus_resolved,worms_full,wqbench,2
Lepadella sp,raw_genus_level,Lepadella sp,Lepadella,genus_resolved,worms_full,envirotox,2
Leptoceridae,raw_genus_level,Leptoceridae,NA,exact_filtered,worms_full,anztox,2
Lethocerus sp.,raw_genus_level,Lethocerus,Lethocerus,gbif_resolved,gbif_full,wqbench,2
Ligumia sp,raw_genus_level,Ligumia sp,Ligumia,genus_resolved,worms_full,envirotox,2
Limnodrilus sp.,raw_genus_level,Limnodrilus sp.,Limnodrilus,genus_resolved,worms_full,wqbench,2
Lyngbya sp.,raw_genus_level,Lyngbya sp.,Lyngbya,genus_resolved,worms_full,wqbench,2
Macromia sp,raw_genus_level,Macromia,Macromia,gbif_resolved,gbif_full,envirotox,2
Mallomonas sp.,raw_genus_level,Mallomonas sp.,Mallomonas,genus_resolved,worms_full,wqbench,2
Marilia sp.,raw_genus_level,Marilia,Marilia,gbif_resolved,gbif_full,wqbench,2
Molgula sp.,raw_genus_level,Molgula sp.,Molgula,genus_resolved,worms_full,wqbench,2
Mylonchulus sp.,raw_genus_level,Mylonchulus sp.,Mylonchulus,genus_resolved,worms_full,wqbench,2
Neochloris sp,raw_genus_level,Neochloris sp,Neochloris,genus_resolved,worms_full,envirotox,2
Nereis sp.,raw_genus_level,Nereis sp.,Nereis,genus_resolved,worms_full,wqbench,2
Niphargus sp.,raw_genus_level,Niphargus sp.,Niphargus,genus_resolved,worms_full,wqbench,2
Orconectes sp,raw_genus_level,Orconectes sp,Orconectes,genus_resolved,worms_full,envirotox,2
Oryzias sp.,raw_genus_level,Oryzias sp.,Oryzias,genus_resolved,worms_full,wqbench,2
Palaemon sp,raw_genus_level,Palaemon sp,NA,ambiguous_after_filter,ambiguous_partial,anztox,2
Paraponyx sp.,raw_genus_level,Paraponyx,Paraponyx,gbif_resolved,gbif_full,wqbench,2
Paratanytarsus sp,raw_genus_level,Paratanytarsus,Paratanytarsus,gbif_resolved,gbif_full,envirotox,2
Pediastrum sp,raw_genus_level,Pediastrum sp,Pediastrum,genus_resolved,worms_full,envirotox,2
Pentaneura sp.,raw_genus_level,Pentaneura,Pentaneura,gbif_resolved,gbif_full,wqbench,2
Peridinium sp.,raw_genus_level,Peridinium sp.,Peridinium,genus_resolved,worms_full,wqbench,2
Pisidium sp,raw_genus_level,Pisidium sp,Pisidium,genus_resolved,worms_full,envirotox,2
Planktosphaeria sp.,raw_genus_level,Planktosphaeria sp.,Planktosphaeria,genus_resolved,worms_full,wqbench,2
Platymonas sp,raw_genus_level,Platymonas sp,Platymonas,genus_resolved,worms_full,envirotox,2
Pleurocera sp,raw_genus_level,Pleurocera sp,Pleurocera,genus_resolved,worms_full,envirotox,2
Pontoporeia sp,raw_genus_level,Pontoporeia sp,Pontoporeia,genus_resolved,worms_full,"anztox, envirotox",2
Potamonautes sp,raw_genus_level,Potamonautes sp,Potamonautes,genus_resolved,worms_full,"anztox, envirotox",2
Prismatolaimus sp.,raw_genus_level,Prismatolaimus sp.,Prismatolaimus,genus_resolved,worms_full,wqbench,2
Pseudanabaena sp,raw_genus_level,Pseudanabaena sp,Pseudanabaena,genus_resolved,worms_full,envirotox,2
Pteronarcys sp.,raw_genus_level,Pteronarcys,Pteronarcys,gbif_resolved,gbif_full,wqbench,2
Rana sp,raw_genus_level,Rana sp,Rana,genus_resolved,worms_full,envirotox,2
Rana sp.,raw_genus_level,Rana sp.,Rana,genus_resolved,worms_full,wqbench,2
Rasbora sp,raw_genus_level,Rasbora sp,Rasbora,genus_resolved,worms_full,anztox,2
Rasbora sp.,raw_genus_level,Rasbora sp.,Rasbora,genus_resolved,worms_full,wqbench,2
Rheotanytarsus sp.,raw_genus_level,Rheotanytarsus,Rheotanytarsus,gbif_resolved,gbif_full,wqbench,2
Rivularia sp.,raw_genus_level,Rivularia sp.,Rivularia,genus_resolved,worms_full,wqbench,2
Sagitta sp,raw_genus_level,Sagitta sp,Sagitta,genus_resolved,worms_full,envirotox,2
Salmonidae,raw_genus_level,Salmonidae,NA,exact_filtered,worms_full,anztox,2
Sigara sp.,raw_genus_level,Sigara sp.,Sigara,genus_resolved,worms_full,wqbench,2
Stephanodiscus sp.,raw_genus_level,Stephanodiscus sp.,Stephanodiscus,genus_resolved,worms_full,wqbench,2
Stichopus sp.,raw_genus_level,Stichopus sp.,Stichopus,genus_resolved,worms_full,wqbench,2
Trachelomonas sp.,raw_genus_level,Trachelomonas sp.,Trachelomonas,genus_resolved,worms_full,wqbench,2
Triogma sp,raw_genus_level,Triogma,Triogma,gbif_resolved,gbif_full,envirotox,2
Triplectides sp.,raw_genus_level,Triplectides,Triplectides,gbif_resolved,gbif_full,wqbench,2
Uronema sp.,raw_genus_level,Uronema sp.,Uronema,genus_resolved,worms_full,wqbench,2
Acetes sp.,raw_genus_level,Acetes sp.,Acetes,genus_resolved,worms_full,wqbench,1
Aeshna sp.,raw_genus_level,Aeshna sp.,Aeshna,genus_resolved,worms_full,wqbench,1
Agnetina sp.,raw_genus_level,Agnetina,Agnetina,gbif_resolved,gbif_full,wqbench,1
Amphilocus sp.,raw_genus_level,Amphilocus sp.,Amphilocus,genus_resolved,worms_full,wqbench,1
Amphiprora sp,raw_genus_level,Amphiprora sp,Amphiprora,genus_resolved,worms_full,anztox,1
Anonyx sp,raw_genus_level,Anonyx sp,Anonyx,genus_resolved,worms_full,envirotox,1
Anonyx sp.,raw_genus_level,Anonyx sp.,Anonyx,genus_resolved,worms_full,wqbench,1
Antocha sp.,raw_genus_level,Antocha,Antocha,gbif_resolved,gbif_full,wqbench,1
Argulus sp,raw_genus_level,Argulus sp,Argulus,genus_resolved,worms_full,anztox,1
Argulus sp.,raw_genus_level,Argulus sp.,Argulus,genus_resolved,worms_full,wqbench,1
Azolla sp,raw_genus_level,Azolla sp,Azolla,genus_resolved,worms_full,anztox,1
Barbus sp.,raw_genus_level,Barbus,Barbus,gbif_resolved,gbif_full,wqbench,1
Bellamya sp.,raw_genus_level,Bellamya sp.,Bellamya,genus_resolved,worms_full,wqbench,1
Berosus sp.,raw_genus_level,Berosus sp.,Berosus,genus_resolved,worms_full,wqbench,1
Bithynia sp,raw_genus_level,Bithynia sp,Bithynia,genus_resolved,worms_full,envirotox,1
Boeckosimus sp.,raw_genus_level,Boeckosimus sp.,Boeckosimus,genus_resolved,worms_full,wqbench,1
Canthocamptus sp,raw_genus_level,Canthocamptus sp,Canthocamptus,genus_resolved,worms_full,anztox,1
Carteria sp.,raw_genus_level,Carteria sp.,Carteria,genus_resolved,worms_full,wqbench,1
Centroptilum sp,raw_genus_level,Centroptilum,Centroptilum,gbif_resolved,gbif_full,envirotox,1
Chironomidae,raw_genus_level,Chironomidae,NA,exact_filtered,worms_full,anztox,1
Chlorolobion sp.,raw_genus_level,Chlorolobion sp.,Chlorolobion,genus_resolved,worms_full,wqbench,1
Chroococcus sp. H4,raw_genus_level,Chroococcus sp. H4,Chroococcus,genus_resolved,worms_full,anztox,1
Chroococcus sp. S27,raw_genus_level,Chroococcus sp. S27,Chroococcus,genus_resolved,worms_full,anztox,1
Chroococcus sp. S58,raw_genus_level,Chroococcus sp. S58,Chroococcus,genus_resolved,worms_full,anztox,1
Chydoridae,raw_genus_level,Chydoridae,NA,exact_filtered,worms_full,envirotox,1
Cinygmula sp.,raw_genus_level,Cinygmula,Cinygmula,gbif_resolved,gbif_full,wqbench,1
Cladocera,raw_genus_level,Diplostraca,NA,exact_unaccepted_filtered,worms_full,anztox,1
Cocconeis sp,raw_genus_level,Cocconeis sp,Cocconeis,genus_resolved,worms_full,envirotox,1
Coelosphaerium sp.,raw_genus_level,Coelosphaerium sp.,Coelosphaerium,genus_resolved,worms_full,wqbench,1
Cylindrotheca sp.,raw_genus_level,Cylindrotheca sp.,Cylindrotheca,genus_resolved,worms_full,wqbench,1
Cypretta sp.,raw_genus_level,Cypretta sp.,Cypretta,genus_resolved,worms_full,wqbench,1
Cypricercus sp.,raw_genus_level,Cypricercus sp.,Cypricercus,genus_resolved,worms_full,wqbench,1
Cyprinella sp.,raw_genus_level,Cyprinella sp.,Cyprinella,genus_resolved,worms_full,wqbench,1
Cyprinus sp.,raw_genus_level,Cyprinus sp.,Cyprinus,genus_resolved,worms_full,wqbench,1
Dictya sp.,raw_genus_level,Dictya sp.,Dictya,genus_resolved,worms_full,wqbench,1
Didymops sp.,raw_genus_level,Didymops,Didymops,gbif_resolved,gbif_full,wqbench,1
Diplectrona sp.,raw_genus_level,Diplectrona,Diplectrona,gbif_resolved,gbif_full,wqbench,1
Diploneis sp.,raw_genus_level,Diploneis sp.,Diploneis,genus_resolved,worms_full,wqbench,1
Diporeia sp,raw_genus_level,Diporeia sp,Diporeia,genus_resolved,worms_full,envirotox,1
Dreissena sp.,raw_genus_level,Dreissena sp.,Dreissena,genus_resolved,worms_full,wqbench,1
Drunella sp.,raw_genus_level,Drunella,Drunella,gbif_resolved,gbif_full,wqbench,1
Echinosphaerium sp.,raw_genus_level,Echinosphaerium,Actinosphaerium,gbif_resolved,gbif_full,wqbench,1
Elliptio sp.,raw_genus_level,Elliptio sp.,Elliptio,genus_resolved,worms_full,wqbench,1
Enteromorpha sp.,raw_genus_level,Enteromorpha sp.,Enteromorpha,genus_resolved,worms_full,wqbench,1
Ergasilus sp.,raw_genus_level,Ergasilus sp.,Ergasilus,genus_resolved,worms_full,wqbench,1
Eristalis sp.,raw_genus_level,Eristalis sp.,Eristalis,genus_resolved,worms_full,wqbench,1
Euchlanis sp,raw_genus_level,Euchlanis sp,Euchlanis,genus_resolved,worms_full,envirotox,1
Eulimnadia sp.,raw_genus_level,Eulimnadia sp.,Eulimnadia,genus_resolved,worms_full,wqbench,1
Eurylophella sp.,raw_genus_level,Eurylophella,Eurylophella,gbif_resolved,gbif_full,wqbench,1
Eusimulium sp.,raw_genus_level,Eusimulium,Eusimulium,gbif_resolved,gbif_full,wqbench,1
Fucus sp.,raw_genus_level,Fucus sp.,Fucus,genus_resolved,worms_full,wqbench,1
Gambusia sp,raw_genus_level,Gambusia sp,Gambusia,genus_resolved,worms_full,envirotox,1
Gloeocapsa sp.,raw_genus_level,Gloeocapsa sp.,Gloeocapsa,genus_resolved,worms_full,wqbench,1
Gobius sp,raw_genus_level,Gobius sp,Gobius,genus_resolved,worms_full,anztox,1
Golenkinia sp.,raw_genus_level,Golenkinia sp.,Golenkinia,genus_resolved,worms_full,wqbench,1
Goniobasis sp,raw_genus_level,Goniobasis sp,Goniobasis,genus_resolved,worms_full,envirotox,1
Gonyaulax sp,raw_genus_level,Gonyaulax sp,Gonyaulax,genus_resolved,worms_full,anztox,1
Gracilaria sp.,raw_genus_level,Gracilaria sp.,Gracilaria,genus_resolved,worms_full,wqbench,1
Gymnodinium sp.,raw_genus_level,Gymnodinium sp.,Gymnodinium,genus_resolved,worms_full,wqbench,1
Gyrinus sp,raw_genus_level,Gyrinus sp,Gyrinus,genus_resolved,worms_full,envirotox,1
Haliotis sp,raw_genus_level,Haliotis sp,Haliotis,genus_resolved,worms_full,envirotox,1
Haliotis sp.,raw_genus_level,Haliotis sp.,Haliotis,genus_resolved,worms_full,wqbench,1
Haliplus sp.,raw_genus_level,Haliplus sp.,Haliplus,genus_resolved,worms_full,wqbench,1
Halteria sp.,raw_genus_level,Halteria sp.,Halteria,genus_resolved,worms_full,wqbench,1
Haploperla sp.,raw_genus_level,Haploperla sp.,Haploperla,genus_resolved,worms_full,wqbench,1
Helicopsyche sp,raw_genus_level,Helicopsyche,Helicopsyche,gbif_resolved,gbif_full,envirotox,1
Helisoma sp,raw_genus_level,Helisoma sp,Helisoma,genus_resolved,worms_full,envirotox,1
Heterocapsa sp.,raw_genus_level,Heterocapsa,Heterocapsa,gbif_resolved,gbif_full,wqbench,1
Heterorhabditis sp.,raw_genus_level,Heterorhabditis sp.,Heterorhabditis,genus_resolved,worms_full,wqbench,1
Hexarthra sp.,raw_genus_level,Hexarthra sp.,Hexarthra,genus_resolved,worms_full,wqbench,1
Idotea sp,raw_genus_level,Idotea sp,Idotea,genus_resolved,worms_full,envirotox,1
Ilyocryptus sp.,raw_genus_level,Ilyocryptus sp.,Ilyocryptus,genus_resolved,worms_full,wqbench,1
Jaeropsis sp,raw_genus_level,Jaeropsis sp,Jaeropsis,genus_resolved,worms_full,anztox,1
Jaeropsis sp.,raw_genus_level,Jaeropsis sp.,Jaeropsis,genus_resolved,worms_full,wqbench,1
Laccotrephes sp.,raw_genus_level,Laccotrephes sp.,Laccotrephes,genus_resolved,worms_full,wqbench,1
Landoltia sp.,raw_genus_level,Landoltia,Spirodela,gbif_resolved,gbif_full,wqbench,1
Lepidostoma sp,raw_genus_level,Lepidostoma sp,Lepidostoma,genus_resolved,worms_full,envirotox,1
Leptophlebia sp,raw_genus_level,Leptophlebia sp,Leptophlebia,genus_resolved,worms_full,envirotox,1
Lethocerus sp,raw_genus_level,Lethocerus,Lethocerus,gbif_resolved,gbif_full,envirotox,1
Leucorrhinia sp.,raw_genus_level,Leucorrhinia,Leucorrhinia,gbif_resolved,gbif_full,wqbench,1
Leuctra sp,raw_genus_level,Leuctra,Leuctra,gbif_resolved,gbif_full,envirotox,1
Libellula sp,raw_genus_level,Libellula sp,Libellula,genus_resolved,worms_full,envirotox,1
Limnius sp.,raw_genus_level,Limnius,Limnius,gbif_resolved,gbif_full,wqbench,1
Macrochaetus sp.,raw_genus_level,Macrochaetus sp.,Macrochaetus,genus_resolved,worms_full,wqbench,1
Macrophthalmus sp.,raw_genus_level,Macrophthalmus sp.,Macrophthalmus,genus_resolved,worms_full,wqbench,1
Macrostemum sp.,raw_genus_level,Macrostemum,Macrostemum,gbif_resolved,gbif_full,wqbench,1
Mansonia sp.,raw_genus_level,Mansonia sp.,Mansonia,unresolved,source_native_fallback,wqbench,1
Menidia sp,raw_genus_level,Menidia,Menidia,gbif_resolved,gbif_full,envirotox,1
Microcystis sp. S17,raw_genus_level,Microcystis sp. S17,Microcystis,genus_resolved,worms_full,anztox,1
Microcystis sp. S31,raw_genus_level,Microcystis sp. S31,Microcystis,genus_resolved,worms_full,anztox,1
Microcystis sp. S44,raw_genus_level,Microcystis sp. S44,Microcystis,genus_resolved,worms_full,anztox,1
Micropterus sp,raw_genus_level,Micropterus sp,NA,unresolved,source_native_fallback,envirotox,1
Micropterus sp.,raw_genus_level,Micropterus sp.,Micropterus,unresolved,source_native_fallback,wqbench,1
Molgula sp,raw_genus_level,Molgula sp,Molgula,genus_resolved,worms_full,envirotox,1
Monochrysis sp.,raw_genus_level,Monochrysis sp.,Monochrysis,genus_resolved,worms_full,wqbench,1
Mytilus sp,raw_genus_level,Mytilus sp,Mytilus,genus_resolved,worms_full,envirotox,1
Nematoda,raw_genus_level,Nematoda,NA,exact_filtered,worms_full,anztox,1
Neomysis sp.,raw_genus_level,Neomysis sp.,Neomysis,genus_resolved,worms_full,wqbench,1
Neoniphargus sp,raw_genus_level,Neoniphargus sp,Neoniphargus,genus_resolved,worms_full,envirotox,1
Neosilurus sp,raw_genus_level,Neosilurus sp,Neosilurus,genus_resolved,worms_full,envirotox,1
Neosilurus sp.,raw_genus_level,Neosilurus sp.,Neosilurus,genus_resolved,worms_full,wqbench,1
Newnhamia sp.,raw_genus_level,Newnhamia sp.,Newnhamia,genus_resolved,worms_full,wqbench,1
Notocallista sp.,raw_genus_level,Notocallista sp.,Notocallista,genus_resolved,worms_full,wqbench,1
Nuphar sp.,raw_genus_level,Nuphar sp.,Nuphar,genus_resolved,worms_full,wqbench,1
Ochromonas sp,raw_genus_level,Ochromonas sp,Ochromonas,genus_resolved,worms_full,envirotox,1
Oecetis sp.,raw_genus_level,Oecetis sp.,Oecetis,genus_resolved,worms_full,wqbench,1
Orthotrichia sp.,raw_genus_level,Orthotrichia sp.,Orthotrichia,unresolved,source_native_fallback,wqbench,1
Palpomyia sp.,raw_genus_level,Palpomyia,Palpomyia,gbif_resolved,gbif_full,wqbench,1
Paragnetina sp,raw_genus_level,Paragnetina,Paragnetina,gbif_resolved,gbif_full,envirotox,1
Paraleptophlebia sp,raw_genus_level,Paraleptophlebia,Paraleptophlebia,gbif_resolved,gbif_full,envirotox,1
Paramecium sp.,raw_genus_level,Paramecium sp.,Paramecium,genus_resolved,worms_full,wqbench,1
Pedicia sp,raw_genus_level,Pedicia,Pedicia,gbif_resolved,gbif_full,envirotox,1
Pedicia sp.,raw_genus_level,Pedicia,Pedicia,gbif_resolved,gbif_full,wqbench,1
Penaeidae,raw_genus_level,Penaeidae,NA,exact_filtered,worms_full,anztox,1
Perla sp.,raw_genus_level,Perla,Perla,gbif_resolved,gbif_full,wqbench,1
Phasganophora sp,raw_genus_level,Phasganophora,Agnetina,gbif_resolved,gbif_full,anztox,1
Phialidium sp,raw_genus_level,Phialidium sp,Phialidium,genus_resolved,worms_full,envirotox,1
Phialidium sp.,raw_genus_level,Phialidium sp.,Phialidium,genus_resolved,worms_full,wqbench,1
Phormidium sp.,raw_genus_level,Phormidium sp.,Phormidium,genus_resolved,worms_full,wqbench,1
Pithophora sp,raw_genus_level,Pithophora sp,Pithophora,genus_resolved,worms_full,envirotox,1
Pithophora sp.,raw_genus_level,Pithophora sp.,Pithophora,genus_resolved,worms_full,wqbench,1
Plea sp.,raw_genus_level,Plea,Plea,gbif_resolved,gbif_full,wqbench,1
Plectomerus sp.,raw_genus_level,Plectomerus sp.,Plectomerus,genus_resolved,worms_full,wqbench,1
Pleurosira sp.,raw_genus_level,Pleurosira sp.,Pleurosira,genus_resolved,worms_full,wqbench,1
Pontogeneia sp,raw_genus_level,Pontogeneia sp,Pontogeneia,genus_resolved,worms_full,envirotox,1
Pontogeneia sp.,raw_genus_level,Pontogeneia sp.,Pontogeneia,genus_resolved,worms_full,wqbench,1
Pontoporeia sp.,raw_genus_level,Pontoporeia sp.,Pontoporeia,genus_resolved,worms_full,wqbench,1
Prasinococcus sp.,raw_genus_level,Prasinococcus sp.,Prasinococcus,genus_resolved,worms_full,wqbench,1
Proasellus sp,raw_genus_level,Proasellus sp,Proasellus,genus_resolved,worms_full,envirotox,1
Protococcus sp,raw_genus_level,Protococcus sp,Protococcus,genus_resolved,worms_full,anztox,1
Pseudocandona sp.,raw_genus_level,Pseudocandona sp.,Pseudocandona,genus_resolved,worms_full,wqbench,1
Pteronarcella sp,raw_genus_level,Pteronarcella,Pteronarcella,gbif_resolved,gbif_full,envirotox,1
Radix sp.,raw_genus_level,Radix sp.,Radix,genus_resolved,worms_full,wqbench,1
Rhyacophila sp.,raw_genus_level,Rhyacophila sp.,Rhyacophila,unresolved,source_native_fallback,wqbench,1
Rotifera,raw_genus_level,Rotifera,NA,exact_filtered,worms_full,anztox,1
Simuliidae,raw_genus_level,Simuliidae,NA,exact_filtered,worms_full,anztox,1
Simulium sp,raw_genus_level,Simulium sp,Simulium,genus_resolved,worms_full,envirotox,1
Siphlonurus sp.,raw_genus_level,Siphlonurus,Siphlonurus,gbif_resolved,gbif_full,wqbench,1
Sphaerium sp,raw_genus_level,Sphaerium sp,Sphaerium,genus_resolved,worms_full,envirotox,1
Sphaerodema sp.,raw_genus_level,Sphaerodema,Diplonychus,gbif_resolved,gbif_full,wqbench,1
Squatinella sp.,raw_genus_level,Squatinella sp.,Squatinella,genus_resolved,worms_full,wqbench,1
Stauroneis sp.,raw_genus_level,Stauroneis sp.,Stauroneis,genus_resolved,worms_full,wqbench,1
Stenonema sp,raw_genus_level,Stenonema sp,NA,unresolved,source_native_fallback,envirotox,1
Surirella sp.,raw_genus_level,Surirella sp.,Surirella,genus_resolved,worms_full,wqbench,1
