source,chemical,casnumber_grouped,medium,accepted_name,conc_ug_L,value_tier,taxonomy_provenance
uncurated,Chlorine,7782505,Marine,Clupea harengus,36,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Clupea pallasii,6.499999999999999,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Crangon crangon,50000.00000000001,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Crangon nigricauda,13.4,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Crassostrea virginica,0.5,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Cryptomonas baltica,11.000000000000002,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Cymatogaster aggregata,7.100000000000002,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Cynoscion nebulosus,17,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Cyprinodon variegatus,37.99999999999999,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Dendraster excentricus,0.8653701104663746,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Diacronema lutheri,20,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Dunaliella primolecta,40,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Dunaliella tertiolecta,11.000000000000002,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Engraulis mordax,11.600000000000001,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Fabrea salina,5000.000000000004,accepted,worms_full
uncurated,Chlorine,7782505,Marine,Gasterosteus aculeatus,16.700000000000003,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Gracilaria tenuistipitata,10000.00000000001,accepted,worms_full
uncurated,Chlorine,7782505,Marine,Hemigrapsus nudus,141.79999999999998,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Hemigrapsus oregonensis,141.79999999999998,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Hexarthra fennica,1249.9999999999995,accepted,worms_full
uncurated,Chlorine,7782505,Marine,Hormosira banksii,799.9999999999999,accepted,worms_full
uncurated,Chlorine,7782505,Marine,Isochrysis galbana,499.99999999999983,accepted,worms_full
uncurated,Chlorine,7782505,Marine,Latreutes fucorum,24.1,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Lauderia confervacea,19.999999999999996,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Leiostomus xanthurus,8.48528137423857,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Leuresthes tenuis,14.99246436306049,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Magallana gigas,57.311478805441794,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Menidia beryllina,18.794290332897514,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Menidia menidia,3.7000000000000006,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Menidia peninsulae,5.4,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Mercenaria mercenaria,0.5,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Morone saxatilis,13.999999999999996,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Myzopsetta ferruginea,14.142135623730955,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Nitocra spinipes spinipes,3999.9999999999995,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Oncorhynchus gorbuscha,42.00000000000001,accepted,worms_full
uncurated,Chlorine,7782505,Marine,Oncorhynchus kisutch,51,accepted,worms_full
uncurated,Chlorine,7782505,Marine,Oncorhynchus tshawytscha,4.5,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Palaemon pugio,4706.617157690531,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Pandalus danae,17.8,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Pandalus goniurus,9.000000000000002,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Pandalus montagui,50000.00000000001,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Panopeus herbstii,106.99999999999996,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Paracentrotus lividus,1015,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Parophrys vetulus,7.300000000000001,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Penaeus (Melicertus) kerathurus,74.00000000000003,chronic_converted,worms_full
uncurated,Chlorine,7782505,Marine,Penaeus (Oleopenaeus) plebejus,17.999999999999996,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Phaeodactylum tricornutum,2,chronic_converted,worms_full
uncurated,Chlorine,7782505,Marine,Pyropia yezoensis,279.9999999999999,chronic_converted,worms_full
uncurated,Chlorine,7782505,Marine,Sillago japonica,17.999999999999996,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Skeletonema costatum,9.500000000000002,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Strongylocentrotus droebachiensis,0.5477225575051662,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Subeucalanus pileatus,11.148990985734988,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Thalassiosira gravida,33,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Thalassiosira nordenskioeldii,19.499999999999996,acute_acr,worms_full
uncurated,Chlorine,7782505,Marine,Thalassiosira pseudonana,7.499999999999999,acute_acr,worms_full
