source,scientificname,kingdom,phylum,subphylum,superclass,class,order_taxon,family,genus,common_name,source_majorgroup,source_minorgroup,source_trophic,source_ecological,source_animaltype,source_animalcategory,isheterotroph,ncbi_taxid
anztox,Anabaena sp,NA,NA,NA,NA,NA,NA,NA,NA,Blue-green algae,CY,CYAN,NA,NA,Plant,Blue-green algae,NA,NA
anztox,Anabaena variabilis,NA,NA,NA,NA,NA,NA,NA,NA,Blue-green algae,CY,CYAN,NA,NA,Plant,Blue-green algae,NA,NA
anztox,Anacystis aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,Blue-green algae,CY,CYAN,NA,NA,Plant,Blue-green algae,NA,NA
anztox,Anadara granosa,NA,NA,NA,NA,NA,NA,NA,NA,Ark shell,Mollusca,Bivalvia,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Anguilla anguilla,NA,NA,NA,NA,NA,NA,NA,NA,Common eel,OS,ANGU,NA,NA,Fish,Fish,NA,NA
anztox,Anguilla rostrata,NA,NA,NA,NA,NA,NA,NA,NA,American eel,OS,ANGU,NA,NA,Fish,Fish,NA,NA
anztox,Ankistrodesmus falcatus,NA,NA,NA,NA,NA,NA,NA,NA,Green algae,AL,CHLO,NA,NA,Plant,Green algae,NA,NA
anztox,Anodonta complanata,NA,NA,NA,NA,NA,NA,NA,NA,Fresh-water mussel,ML,PELE,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Anodonta sp,NA,NA,NA,NA,NA,NA,NA,NA,Fresh-water mussel,ML,BIVA,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Anopheles farauti,NA,NA,NA,NA,NA,NA,NA,NA,Mosquito,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Anopheles maculipennis messeae,NA,NA,NA,NA,NA,NA,NA,NA,Mosquito,IN,DIPT,NA,NA,Invertebrate,Insects,NA,NA
anztox,Aplocheilus latipes,NA,NA,NA,NA,NA,NA,NA,NA,"Medaka, high-eyes",OS,NA,NA,NA,Fish,Fish,NA,NA
anztox,Aplocheilus lineatus,NA,NA,NA,NA,NA,NA,NA,NA,Killifish,OS,CYPO,NA,NA,Fish,Fish,NA,NA
anztox,Arenicola marina,NA,NA,NA,NA,NA,NA,NA,NA,Lugworm,AN,POLY,NA,NA,Invertebrate,Annelids,NA,NA
anztox,Argopecten irradians,NA,NA,NA,NA,NA,NA,NA,NA,Bay scallop,ML,Biva,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Argulus sp,NA,NA,NA,NA,NA,NA,NA,NA,Fish louse,NA,NA,NA,NA,NA,NA,NA,NA
anztox,Armandia maculata,NA,NA,NA,NA,NA,NA,NA,NA,Opheliid worm,AN,POLY,NA,NA,Invertebrate,Annelids,NA,NA
anztox,Arrhenurus globator,NA,NA,NA,NA,NA,NA,NA,NA,Water mite,NA,NA,NA,NA,NA,NA,NA,NA
anztox,Artemia franchiscana,NA,NA,NA,NA,NA,NA,NA,NA,Brine shrimp,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Artemia salina,NA,NA,NA,NA,NA,NA,NA,NA,Brine shrimp,Crustacea,Decapoda,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Artemia sp,NA,NA,NA,NA,NA,NA,NA,NA,Brine shrimp,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Arthrospira fusiformis,Bacteria,Cyanobacteria,NA,NA,Cyanophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microalgae,FALSE,NA
anztox,Ascophyllum nodosum,NA,NA,NA,NA,NA,NA,NA,NA,Brown algae,AL,PHAE,NA,NA,Plant,Brown algae,NA,NA
