source,scientificname,kingdom,phylum,subphylum,superclass,class,order_taxon,family,genus,common_name,source_majorgroup,source_minorgroup,source_trophic,source_ecological,source_animaltype,source_animalcategory,isheterotroph,ncbi_taxid
envirotox,Mystus keletius,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Mystus tengara,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Mystus vittatus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Bagridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Mytilopsis sallei,Animalia,Mollusca,NA,NA,Bivalvia,Veneroida,Dreissenidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Mytilus californianus,Animalia,Mollusca,NA,NA,Bivalvia,Mytiloida,Mytilidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Mytilus edulis,Animalia,Mollusca,NA,NA,Bivalvia,Mytiloida,Mytilidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Mytilus galloprovincialis,Animalia,Mollusca,NA,NA,Bivalvia,Mytiloida,Mytilidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Mytilus sp,Animalia,Mollusca,NA,NA,Bivalvia,Mytiloida,Mytilidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nais communis,Animalia,Annelida,NA,NA,Oligochaeta,Haplotaxida,Naididae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nannochloris atomus,Plantae,Chlorophyta,NA,NA,Trebouxiophyceae,Chlorellales,Chlorellaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nannochloropsis gaditana,Plantae,Chlorophyta,NA,NA,Trebouxiophyceae,Chlorellales,Chlorellaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nannochloropsis oculata,Chromista,Ochrophyta,NA,NA,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nassarius obsoletus,Animalia,Mollusca,NA,NA,Gastropoda,Neogastropoda,Nassariidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Navicula incerta,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Naviculaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Navicula pelliculosa,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Naviculaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Navicula salinarum,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Naviculaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Navicula seminulum,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Naviculaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Navicula seminulum var hustedtii,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Naviculaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Navicula sp,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Naviculaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Neanthes grubei,Animalia,Annelida,NA,NA,Polychaeta,Aciculata,Nereididae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neanthes succinea,Animalia,Annelida,NA,NA,Polychaeta,Aciculata,Nereididae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nemacheilus angorae,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Balitoridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Nemacheilus botia,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Balitoridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Nemoura cinerea,Animalia,Arthropoda,Hexapoda,NA,Insecta,Plecoptera,Nemouridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nemoura marginata,Animalia,Arthropoda,Hexapoda,NA,Insecta,Plecoptera,Nemouridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neocaridina denticulata,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Atyidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neocaridina sp,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Atyidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neochloris sp,Plantae,Chlorophyta,NA,NA,Chlorophyceae,Chlorococcales,Chlorococcaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Neodiaptomus kamakhiae,Animalia,Arthropoda,Crustacea,NA,Maxillopoda,Calanoida,Diaptomidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neogobius melanostomus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Neohelice granulata,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Varunidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neomysis americana,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Mysida,Mysidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neomysis integer,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Mysida,Mysidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neomysis mercedis,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Mysida,Mysidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neoniphargus sp,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Amphipoda,Neoniphargidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neopanope texana,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Xanthidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neoplea striola,Animalia,Arthropoda,Hexapoda,NA,Insecta,Heteroptera,Pleidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Neosilurus sp,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Siluriformes,Plotosidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Nepa sp,Animalia,Arthropoda,Hexapoda,NA,Insecta,Hemiptera,Nepidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nephelopsis obscura,Animalia,Annelida,NA,NA,Clitellata,Arhynchobdellida,Erpobdellidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nereis arenaceodentata,Animalia,Annelida,NA,NA,Polychaeta,Aciculata,Nereididae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nereis diversicolor,Animalia,Annelida,NA,NA,Polychaeta,Aciculata,Nereididae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nereis virens,Animalia,Annelida,NA,NA,Polychaeta,Aciculata,Nereididae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nigronia serricornis,Animalia,Arthropoda,Hexapoda,NA,Insecta,Megaloptera,Corydalidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Niphargus aquilex,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Amphipoda,Niphargidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nitocra spinipes,Animalia,Arthropoda,Crustacea,NA,Maxillopoda,Harpacticoida,Ameiridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nitzschia angularis,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nitzschia angularis var affinis,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nitzschia closterium,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nitzschia kuetzingiana,Chromista,Ochrophyta,Khakista,NA,Bacillariophyceae,Baccillariales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nitzschia palea,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nitzschia pungens,Chromista,Ochrophyta,Khakista,NA,Bacillariophyceae,Baccillariales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nitzschia sigma,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nitzschia sp,Chromista,Bacillariophyta,NA,NA,Bacillariophyceae,Pennales,Bacillariaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Noemacheilus barbatulus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Gobiidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Noemacheilus denisonii,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Balitoridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Noemacheilus montanus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Balitoridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Nostoc commune,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Nostocaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nostoc linckia,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Nostocaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nostoc muscorum,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Nostocaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Nostoc sp,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Nostocaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Notemigonus crysoleucas,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Nothobranchius furzeri,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notodiaptomus conifer,Animalia,Arthropoda,Crustacea,NA,Hexanauplia,Calanoida,Diaptomidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Notonecta glauca,Animalia,Arthropoda,Hexapoda,NA,Insecta,Heteroptera,Notonectidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Notonecta sp,Animalia,Arthropoda,Hexapoda,NA,Insecta,Heteroptera,Notonectidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Notonecta undulata,Animalia,Arthropoda,Hexapoda,NA,Insecta,Heteroptera,Notonectidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Notopterus notopterus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Osteoglossiformes,Notopteridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis anogenus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis atherinoides,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis blennius,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis buccatus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis hudsonius,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis ludibundis,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis mekistocholas,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis stramineus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Notropis topeka,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Nucella lima,Animalia,Mollusca,NA,NA,Gastropoda,Neogastropoda,Muricidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Nuria danrica,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Obliquaria reflexa,Animalia,Mollusca,NA,NA,Bivalvia,Unionoida,Unionidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Ochromonas danica,Plantae,Chrysophyta,NA,NA,Chrysophyceae,Ochromonadales,Ochromonadaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Ochromonas sp,Chromista,Ochrophyta,NA,NA,Chrysophyceae,Chromulinales,Chromulinaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Odagmia ornata,Animalia,Arthropoda,Hexapoda,NA,Insecta,Diptera,Simuliidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Odontesthes bonariensis,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Atheriniformes,Atherinopsidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Odontesthes regia,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Atheriniformes,Atherinopsidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oedogonium cardiacum,Plantae,Chlorophyta,NA,NA,Chlorophyceae,Oedogoniales,Oedogoniaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Oithona davisae,Animalia,Arthropoda,NA,NA,Maxillopoda,Cyclopoidea,Oithonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oithona similis,Animalia,Arthropoda,NA,NA,Maxillopoda,Cyclopoidea,Oithonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oncomelania nosophora,Animalia,Mollusca,NA,NA,Gastropoda,Mesogastropoda,Pomatiopsidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oncorhynchus clarkii,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus clarkii ssp henshawi,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus clarkii ssp. stomias,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus gilae ssp apache,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus gorbuscha,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus keta,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus kisutch,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus mykiss,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus namaycush,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus nerka,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus salar,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus trutta,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oncorhynchus tshawytscha,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Onisimus litoralis,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Amphipoda,Lysianassidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oophila sp,Eubacteria,Cyanobacteria,NA,NA,Cyanophyceae,Chlorococcales,Chlorococcaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Opercularia coarctata,Animalia,Ciliophora,NA,NA,Ciliatea,Peritrichida,Operculariidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Opercularia minima,Animalia,Ciliophora,NA,NA,Ciliatea,Peritrichida,Operculariidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Ophiogomphus sp,Animalia,Arthropoda,Hexapoda,NA,Insecta,Odonata,Gomphidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Ophryotrocha diadema,Animalia,Annelida,NA,NA,Polychaeta,Aciculata,Dorvilleidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Ophryotrocha labronica,Animalia,Annelida,NA,NA,Polychaeta,Aciculata,Dorvilleidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oplegnathus fasciatus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Oplegnathidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Opsanus beta,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Batrachoidiformes,Batrachoididae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Opsariichthys uncirostris,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Opsopoeodus emiliae,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Orconectes immunis,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Orconectes limosus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Orconectes nais,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Orconectes neglectus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Orconectes propinquus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Orconectes sp,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Orconectes virilis,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oreochromis mossambicus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oreochromis niloticus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Cichlidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Orthocladius sp,Animalia,Arthropoda,Hexapoda,NA,Insecta,Diptera,Chironomidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oryzias latipes,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Beloniformes,Adrianichthyidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oryzias melanostigma,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Beloniformes,Adrianichthyidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oryzias melastigma,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Beloniformes,Adrianichthyidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oryzias sinensis,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Beloniformes,Adrianichthyidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Oscillatoria agardhii,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Oscillatoriaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Oscillatoria laetevirens,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Oscillatoriaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Oscillatoria limnetica,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Oscillatoriaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Oscillatoria sp,Monera,Cyanophycota,NA,NA,Cyanophyceae,Nostocales,Oscillatoriaceae,NA,NA,NA,NA,ALGAE,NA,NA,NA,NA,NA
envirotox,Osmerus mordax,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Osmeriformes,Osmeridae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Ostrea edulis,Animalia,Mollusca,NA,NA,Bivalvia,Ostreoida,Ostreidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Oxytrema catenaria,Animalia,Mollusca,NA,NA,Gastropoda,NA,Pleuroceridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Ozius rugulosus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Menippidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Pachygrapsus crassipes,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Grapsidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Pacifastacus leniusculus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Astacidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Pagrus auratus,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Sparidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Pagrus major,Animalia,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Perciformes,Sparidae,NA,NA,NA,NA,FISH,NA,NA,NA,NA,NA
envirotox,Pagurus longicarpus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Paguridae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemon elegans,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemon paucidens,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemon serratus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemonetes kadiakensis,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemonetes pugio,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemonetes setiferus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemonetes sp,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemonetes varians,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Palaemonetes vulgaris,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Palaemonidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Pandalus danae,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Pandalidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Pandalus goniurus,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Pandalidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Pandalus montagui,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Pandalidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
envirotox,Pandalus platyceros,Animalia,Arthropoda,Crustacea,NA,Malacostraca,Decapoda,Pandalidae,NA,NA,NA,NA,INVERT,NA,NA,NA,NA,NA
