raw_species,n_rows,sources,example_cas,worms_status,gbif_status,resolved_by,accepted_name,rank,kingdom,phylum,class,order,family,genus,habitat
Fundulus heteroclitus,1611,"anztox,envirotox,wqbench",2921882,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodesmus subspicatus,1559,"anztox,envirotox,wqbench",330541,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skeletonema costatum,1516,"anztox,envirotox,wqbench",2921882,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus galloprovincialis,1475,"anztox,envirotox,wqbench",7440439,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryzias melastigma,1409,"anztox,envirotox,wqbench",330541,exact,NA,worms,Oryzias melastigma,Species,Animalia,Chordata,Teleostei,Beloniformes,Adrianichthyidae,Oryzias,brackish|freshwater
Salmo trutta,1369,"anztox,envirotox,wqbench",12789036,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarias gariepinus,1363,"envirotox,wqbench",153719234,exact,NA,worms,Clarias gariepinus,Species,Animalia,Chordata,Teleostei,Siluriformes,Clariidae,Clarias,freshwater
Morone saxatilis,1353,"anztox,envirotox,wqbench",72208,exact,NA,worms,Morone saxatilis,Species,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Moronidae,Morone,marine|brackish|freshwater
Scenedesmus acutus var. acutus,1270,"envirotox,wqbench",298464,no_match,gbif_exact,gbif,Scenedesmus acutus acutus,VARIETY,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Tetradesmus,NA
Culex quinquefasciatus,1230,"envirotox,wqbench",50293,exact,NA,worms,Culex quinquefasciatus,Species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,terrestrial
Oncorhynchus tshawytscha,1191,"anztox,envirotox,wqbench",309002,exact,NA,worms,Oncorhynchus tshawytscha,Species,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,marine|brackish|freshwater
Tetrahymena pyriformis,1191,"anztox,envirotox,wqbench",2921882,exact,NA,worms,Tetrahymena pyriformis,Species,Chromista,Ciliophora,Oligohymenophorea,Tetrahymenida,Tetrahymenidae,Tetrahymena,freshwater
Tubifex tubifex,1185,"anztox,envirotox,wqbench",121755,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dugesia japonica,1167,"envirotox,wqbench",335671,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palaemon pugio,1137,wqbench,100414,exact,NA,worms,Palaemon pugio,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,brackish|freshwater
Selenastrum capricornutum,1085,"anztox,wqbench",1912249,exact,NA,worms,Selenastrum capricornutum,Species,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae,Selenastrum,freshwater
Oncorhynchus clarkii,1082,"anztox,envirotox,wqbench",94757,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procambarus clarkii,1078,"envirotox,wqbench",2921882,exact,NA,worms,Procambarus clarkii,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,brackish|freshwater
Cirrhinus mrigala,1077,"anztox,envirotox,wqbench",959988,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myriophyllum spicatum,1072,"anztox,wqbench",12258536,exact,NA,worms,Myriophyllum spicatum,Species,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,brackish|freshwater
Myriophyllum sibiricum,1063,wqbench,76051,exact,NA,worms,Myriophyllum sibiricum,Species,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,freshwater
Chironomus tentans,1053,"anztox,envirotox,wqbench",122349,no_match,gbif_exact,gbif,Chironomus tentans,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA
Rasbora heteromorpha,1009,"anztox,envirotox,wqbench",330541,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarias batrachus,980,"anztox,envirotox,wqbench",137268,exact,NA,worms,Clarias batrachus,Species,Animalia,Chordata,Teleostei,Siluriformes,Clariidae,Clarias,brackish|freshwater
Crassostrea gigas,980,"anztox,envirotox,wqbench",2921882,exact_unaccepted,NA,worms,Magallana gigas,Species,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,marine
Lymnaea stagnalis,961,"anztox,envirotox,wqbench",79005,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus edulis,931,"anztox,envirotox,wqbench",1461229,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dreissena polymorpha,930,"anztox,envirotox,wqbench",108952,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chironomus dilutus,892,"anztox,envirotox,wqbench",138261413,no_match,gbif_exact,gbif,Chironomus dilutus,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA
Macrobrachium rosenbergii,856,"envirotox,wqbench",101043372,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlamydomonas reinhardtii,831,"anztox,envirotox,wqbench",58899,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla anguilla,821,"anztox,envirotox,wqbench",9003569,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gasterosteus aculeatus,818,"anztox,envirotox,wqbench",309002,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gammarus pulex,816,"anztox,envirotox,wqbench",58899,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artemia salina,809,"anztox,envirotox,wqbench",79005,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rivulus marmoratus,798,"envirotox,wqbench",10540291,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tigriopus japonicus,798,"anztox,envirotox,wqbench",330541,exact,NA,worms,Tigriopus japonicus,Species,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Tigriopus,marine
Scenedesmus quadricauda,787,"anztox,envirotox,wqbench",107062,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micropterus salmoides,776,"anztox,envirotox,wqbench",12789036,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tetrahymena thermophila,769,"envirotox,wqbench",151615917,no_match,gbif_exact,gbif,Tetrahymena thermophila,SPECIES,Chromista,Ciliophora,Oligohymenophorea,Hymenostomatida,Tetrahymenidae,Tetrahymena,NA
Chironomus plumosus,763,"anztox,envirotox,wqbench",50293,exact,NA,worms,Chironomus plumosus,Species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,brackish|freshwater|terrestrial
Salvelinus namaycush,754,"anztox,envirotox,wqbench",2921882,exact,NA,worms,Salvelinus namaycush,Species,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,freshwater
Gammarus fasciatus,749,"anztox,envirotox,wqbench",72208,exact,NA,worms,Gammarus fasciatus,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,freshwater
Xenopus tropicalis,708,wqbench,131341861,no_match,gbif_exact,gbif,Xenopus tropicalis,SPECIES,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,NA
Ceratophyllum demersum,697,"anztox,wqbench",51218452,exact,NA,worms,Ceratophyllum demersum,Species,Plantae,Tracheophyta,Magnoliopsida,Ceratophyllales,Ceratophyllaceae,Ceratophyllum,brackish|freshwater
Perca flavescens,694,"anztox,envirotox,wqbench",1563662,exact,NA,worms,Perca flavescens,Species,Animalia,Chordata,Teleostei,Perciformes,Percidae,Perca,brackish|freshwater
Gibelion catla,664,"envirotox,wqbench",115297,exact_unaccepted,NA,worms,Labeo catla,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Gibelion,brackish|freshwater
Litopenaeus vannamei,664,wqbench,30560191,exact_unaccepted,NA,worms,Penaeus (Litopenaeus) vannamei,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,Litopenaeus,marine|brackish
Lithobates pipiens,654,wqbench,13411160,exact,NA,worms,Lithobates pipiens,Species,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,freshwater|terrestrial
Prochilodus lineatus,627,"envirotox,wqbench",38641940,exact,NA,worms,Prochilodus lineatus,Species,Animalia,Chordata,Teleostei,Characiformes,Prochilodontidae,Prochilodus,freshwater
Brachionus plicatilis,626,"anztox,envirotox,wqbench",7440439,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithobates catesbeianus,612,wqbench,3240786,exact,NA,worms,Lithobates catesbeianus,Species,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,freshwater|terrestrial
Gammarus pseudolimnaeus,610,"anztox,envirotox,wqbench",1071836,exact,NA,worms,Gammarus pseudolimnaeus,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,freshwater
Daphnia longispina,609,"anztox,envirotox,wqbench",2921882,exact,NA,worms,Daphnia longispina,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Daphnia,brackish|freshwater
Anabaena flosaquae,607,"anztox,wqbench",85007,fuzzy,NA,worms,Dolichospermum flos-aquae,Species,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,freshwater
